pert_iname,NPC1,INSIG1,HMGCS1,SMILES
withaferin-a,1.5622,2.3729,1.9935,C[C@@H]([C@H]1CC[C@H]2[C@@H]3C[C@H]4O[C@]45[C@@H](O)C=CC(=O)[C@]5(C)[C@H]3CC[C@]12C)[C@H]6CC(=C(CO)C(=O)O6)C
tiagabine,-1.25545,-0.26935,0.42895000000000005,Cc1ccsc1C(=CCCN1CCC[C@H](C1)C(O)=O)c1sccc1C
nikkomycin,-1.1796,0.92,0.2202,CC(C(C)c1ccc(O)cn1)C(N)C(=O)NC([C@H]2O[C@H]([C@@H](O)[C@H]2O)N3C=CC(=O)CC3=O)C(=O)O
droxinostat,1.4235,-0.3218,-0.0442,Cc1cc(Cl)ccc1OCCCC(=O)NO
BRD-K51454562,-0.72295,0.3549,-1.6133,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4ccccc4)cc3C1=O
BRD-K27440500,0.4382,1.52265,-1.21325,Cc1csc(CNc2ncnc3ccc(cc23)c4cccc(Cl)c4)c1
BRD-K03391109,0.55715,-0.54625,0.29375,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CC2)OCCCC[C@@H](C)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O
ibrutinib,0.6920999999999999,0.9095,0.59375,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)C1CCCN(C1)C(=O)C=C
methylene-blue,0.6111500000000001,0.06525,0.6608499999999999,CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
BRD-K91818252,0.39880000000000004,0.044050000000000006,0.37235,OC(=O)c1ccc(cc1)c2noc(n2)c3ccccc3Cl
peucedanin,-0.1578,-0.02495,0.32625,COc1c(oc2cc3oc(=O)ccc3cc12)C(C)C
BRD-K47071092,-0.5461999999999999,0.2205,-0.03715,CCOC(=O)c1cc2CN([C@@H](CCO)c2c(n1)c3cccc(c3)c4cccc(OC)c4)S(=O)C(C)(C)C
BRD-K44931544,0.4012,0.078,0.0049,Cc1ccc(cc1S(=O)(=O)Nc2ccccc2)C(=O)Nc3ccccc3c4ccccc4
BRD-K31749518,-0.3095,1.6933,2.9669,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)C2CCC2)Oc3cc(ccc3S1(=O)=O)C4=CCCCC4
cytochalasin-b,0.6282,-0.2497,-0.3133,C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
crizotinib,0.9955,1.6757,0.7769,C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(Cl)ccc(F)c1Cl
BG-FA-0953,0.8268,0.1753,0.3002,Cc1cccc2nc([nH]c12)/C(=C/c3ccc(o3)[N+](=O)[O-])/C#N
BRD-K71982936,1.2316500000000001,1.1123500000000002,0.87725,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(F)cc2)Oc3ncc(C#Cc4cccnc4)cc3C1=O
BRD-K84797952,-0.9561499999999999,0.5434,0.5252,COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]31CN(C1)C(=O)Nc1c(C)noc1C)C(=O)Nc1ccc(F)cc1
SA-97110,-1.3066,-1.2711,0.68205,C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(F)cc2)Oc3c(NC(=O)Nc4cccc5ccccc45)cccc3C1=O
BRD-K82837433,0.1677,0.44025000000000003,0.43674999999999997,Oc1ccccc1C(=O)N/N=C/c2cc(Cl)cc(Cl)c2O
ribostamycin,-0.5968,-0.3046,0.188,NC[C@H]1O[C@H](OC2[C@@H](N)C[C@@H](N)[C@H](O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
BG-1005,2.2883,2.3542,0.0,ONC(=O)CCCCCC(=O)N/N=C/c1ccc(cc1)c2ccccc2
BRD-K61599229,0.1752,0.5595,0.3171,COCC(=O)N(C[C@H]1N[C@H](CO)[C@@H]1c1ccc(cc1)C1=CCCCC1)C(C)C
denbufylline,-0.22499999999999998,-0.7303999999999999,-0.6605,CCCCn1c(=O)n(CCCC)c2ncn(CC(=O)C)c2c1=O
pravastatin,0.23620000000000002,-0.19590000000000002,0.0909,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12
BRD-K47490989,0.377,0.8936,0.0795,Fc1cccc(F)c1S(=O)(=O)N2C[C@@H]3C[C@H]2CN3S(=O)(=O)c4ccc5OCCOc5c4
butabindide,1.0898500000000002,-0.4236,-1.1632,CCCCNC(=O)C1Cc2ccccc2N1C(=O)C(N)CC
BRD-K93605482,0.5592499999999999,0.34825,0.42295,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)CCC(F)(F)F)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O
GR-127935,2.7939,3.0378,2.3298,COc1ccc(NC(=O)c2ccc(cc2)-c2ccc(cc2C)-c2noc(C)n2)cc1N1CCN(C)CC1
BRD-K60487596,-0.0675,-0.4888,-0.3687,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)O)Oc3ccc(NC(=O)CCCN(C)C)cc3C1=O
BRD-K13077924,0.3742,-0.1753,-0.0596,COc1cc(\C=C\C)ccc1OCc1cn2cccc(C)c2n1
BRD-K30126976,0.10335000000000001,0.2874,-0.06875,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccccc2)OCCCC[C@H](C)Oc3ccc(NC(=O)c4ccncc4)cc3C1=O
BRD-K74548617,1.2175,0.2369,0.47059999999999996,O[C@H]1COC[C@@H]2O[C@H](CC(=O)NCc3ccc(Oc4ccccc4)cc3)CC[C@H]2N(CCC(F)(F)F)C1
GSK-1904529A,0.04175,0.5858,-0.21445,CCc1cc(Nc2nccc(n2)-c2c(nc3ccccn23)-c2ccc(OC)c(c2)C(=O)Nc2c(F)cccc2F)c(OC)cc1N1CCC(CC1)N1CCN(CC1)S(C)(=O)=O
BRD-K41557448,0.18059999999999998,-0.7347999999999999,-0.3797,COc1ccc2oc(cc(=O)c2c1)-c1ccccc1OC
talampicillin,-0.25670000000000004,0.8573,-0.85175,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc12
bosutinib,1.3268,3.1255,1.9003,COc1cc(Nc2c(cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)C#N)c(Cl)cc1Cl
aripiprazole,0.6201,0.8911,0.7449,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
BRD-K47709646,-0.1755,0.0649,0.4911,CCCCC1CCC(CC1)c2ccc(cc2)C(=O)O
BRD-K77760488,0.4507,0.23194999999999996,0.89015,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)Oc3cc(ccc3S1(=O)=O)c4ccc(F)cc4
BRD-K90446118,-0.3396,0.3939,0.3085,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc3OCOc3c2)OCCCC[C@@H](C)Oc4ccc(NC(=O)Nc5ccc6OCOc6c5)cc4C1=O
BRD-K29423519,0.5386,-2.0309,0.49119999999999997,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)C(=O)NC3CCCCC3)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1
"methyl-2,5-dihydroxycinnamate",1.04115,-0.19175,-0.93975,COC(=O)C=Cc1cc(O)ccc1O
BRD-K85592362,-0.1313,-0.5724,0.0126,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)OCCCC[C@@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O
BRD-K90700939,1.33745,0.7668,0.43445,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2cccc3ccccc23)OCCCC[C@H](C)Oc4ccc(NC(=O)c5ccncc5)cc4C1=O
BRD-K93899689,-0.1671,-0.1329,0.0615,OC(=O)CCNC(=O)c1cncc(Br)c1
etamivan,-0.6750499999999999,-0.36819999999999997,0.1281,CCN(CC)C(=O)c1ccc(O)c(OC)c1
AM-404,-0.0291,-1.1272,-0.9078,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)Nc1ccc(O)cc1
BRD-K70960308,0.17055,-0.7558499999999999,-0.59415,Cn1nnnc1SCCNC/C=C/c2ccccc2
disulfiram,3.09575,0.7914,0.5462,CCN(CC)C(=S)SSC(=S)N(CC)CC
palmitoylethanolamide,-0.06725,-0.22015,-0.23115,CCCCCCCCCCCCCCCC(=O)NCCO
BRD-K34412705,-0.06475,0.6444,0.78155,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc3OCOc3c2)Oc4ccc(NC(=O)Cc5cn(C)c6ccccc56)cc4C1=O
BRD-K71552321,-0.1667,1.6199,1.5041,CN(C)C(=O)c1ccc(cc1)-c1cccc(c1)-c1nc(cc2CN([C@H](CCO)c12)[S@](=O)C(C)(C)C)C(=O)NC1CCCC1
hydroxychloroquine,-0.8047,0.0391,-0.27399999999999997,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12
BRD-K90970920,0.7559,1.4439,1.2622,CCCN(C)C[C@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2C(=O)N(C[C@H]1C)[C@@H](C)CO
BRD-K08656311,0.55765,0.02840000000000001,0.03985,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)Nc3ccccc3N)Oc4ccc(NC(=O)C5CCCCC5)cc4CC1=O
BRD-K51608872,-0.05885,-0.8755,-0.104,CN(C)c1nc(N)nc(CSc2nnnn2c3cccc4ccccc34)n1
ciprofibrate,-0.9387,-0.05105000000000004,-0.5005,CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(O)=O
SCH-442416,0.6486,1.14615,-0.5927,COc1ccc(CCCn2ncc3c4nc(nn4c(N)nc23)c5ccco5)cc1
diclofenamide,-0.7543,0.1964,-0.1973,NS(=O)(=O)c1cc(Cl)c(Cl)c(c1)S(N)(=O)=O
INCA-6,0.5634,-0.4078,-0.7535,O=C1C=CC(=O)C2=C1C1c3ccccc3C2c2ccccc12
BRD-K27472340,-1.054,-1.5426,-0.9769,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)OCCCC[C@@H](C)Oc3ccc(NC(=O)Nc4cccc5ccccc45)cc3C1=O
BRD-K70595525,-0.0323,2.6521,1.5686,O[C@H]1COC[C@H]2O[C@H](CC(=O)N3CCCCC3)CC[C@@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1
BRD-K38205437,0.7588,0.2187,-0.4252,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(Cl)cc2)Oc3c(NS(=O)(=O)c4c(C)noc4C)cccc3C1=O
acetyl-farnesyl-cysteine,-0.1082,-0.8102,0.1637,CC(=O)N[C@@H](CSC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(O)=O
homosalate,-0.6729999999999999,-0.1134,-1.2527,CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O
BRD-K01048110,-0.42350000000000004,-0.71335,-0.08685000000000004,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(cc2)C(=O)O)Oc3c(NC(=O)NC4CCCCC4)cccc3C1=O
BRD-K58674774,-0.8716,0.4908,0.3474,Fc1cc(cc(F)c1F)C(=O)OCC#CCSc1nnc(o1)-c1cccc2ccccc12
BRD-K00859168,-0.2255,-0.7073,0.32985,Cc1c(CC(=O)O)c(=O)oc2cc(OCC(=O)O)ccc12
AZ-10417808,-0.46625,0.4576,-0.51005,[O-][N+](=O)c1cc(C(=O)NCC=C)c2nc(Nc3ccc(Cl)c(Cl)c3)[nH]c(=O)c2c1
protriptyline,0.2934,0.6542,1.2247,CNCCCC1c2ccccc2C=Cc2ccccc12
SB-221284,0.12955,0.5589,-0.03045,CSc1cc2CCN(C(=O)Nc3cccnc3)c2cc1C(F)(F)F
BRD-K63239300,0.5462,-0.22665,-0.7278,CC(C)Oc1ccc(cc1)-c1csc(n1)N1CCC(CC1)C(N)=O
SR-144528,0.1341,-0.8702,-0.0034,Cc1ccc(Cn2nc(cc2-c2ccc(Cl)c(C)c2)C(=O)N[C@H]2[C@]3(C)CC[C@H](C3)C2(C)C)cc1
BRD-K95047050,0.3923,0.4462,-2.0442,COCC(=O)N1C[C@]2(CCN(Cc3cccnc3)CC2)c2c([C@H]1CO)n(C)c1cc(OC)ccc21
BRD-K76876037,0.9159999999999999,0.2401,0.4209,CC(C)NC(=O)N[C@@H]1C=C[C@H](CC(=O)NC2Cc3ccccc3C2)O[C@H]1CO
lobaric-acid,-1.4879,0.9985,-0.3501,CCCCCc1c(C(=O)O)c(O)cc2OC(=O)c3c(cc(OC)cc3Oc12)C(=O)CCCC
nicotinyl-alcohol-tartrate,-0.4957,-0.3898,0.6423,OCc1cccnc1
candesartan,-0.2994,-0.1878,-0.5606,CCOc1nc2cccc(C(O)=O)c2n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1
BRD-K93229693,0.5509,-0.1042,0.133,COc1cccc(c1)-c1nc(no1)-c1ccc(NC(=O)Cc2ccccc2OC)cc1
U-74389F,0.29385,0.73215,0.9353499999999999,CC12CC=C3C(CCC4=CC(=O)C=CC43C)C2CC[C@@H]1C(=O)CN5CCN(CC5)c6cc(nc(n6)N7CCCC7)N8CCCC8
BRD-K03957451,0.6605,-1.4553,-1.2057,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)C)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1
iopromide,0.9409,0.0617,0.1401,COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I
BRD-K82326223,-0.51435,-0.39065,-0.1999,CCCN(CC#C)[C@H]1CCc2cccc(O)c2C1
BRD-K62019457,1.0876,-0.4172,-0.4766,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)CC2CC2)OCCCC[C@H](C)Oc3ccc(NS(=O)(=O)c4ccccc4)cc3C1=O
vanoxerine,0.8729,0.1706,-0.0007,Fc1ccc(cc1)C(OCCN1CCN(CCCc2ccccc2)CC1)c1ccc(F)cc1
BRD-K42629487,-0.6273,0.8626,-1.2065,CCOc1ccc(NC(=S)N2CCC(CC2)C(O)(c3ccccc3)c4ccccc4)cc1
BRD-K59472190,1.5708,0.9419,0.1983,CO[C@H]1CN(C)C(=O)c2cc(NC(=O)c3ccccc3F)ccc2OC[C@H](C)N(C[C@H]1C)C(C)=O
sericetin,-0.1239,-1.3655,-1.4163,COc1c(oc2c(CC=C(C)C)c3OC(C)(C)C=Cc3c(OC)c2c1=O)c4ccccc4
BRD-K77432048,-0.3341,-0.10125,-0.1063,COc1ccc(Nc2nc(N)nc(CN3CCCCC3)n2)cc1
BRD-K39318886,0.0699,0.43375,-1.2756,FC(F)Oc1ccc(cc1OCC2CC2)C3=Nn4c(nnc4SC3)c5ccccc5Cl
BRD-K92801790,-0.48575,-2.29345,-1.1181,C1c2sc(Nc3ccccc3)nc2-c4ccccc14
salsolidine,0.6918,0.9829,1.2091,COc1cc2CCNC(C)c2cc1OC
androstenedione,-0.16570000000000001,-0.029550000000000007,0.73315,C[C@@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]2CCC1=O
azlocillin,-1.3853,-0.1041,0.1574,CC1(C)S[C@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(O)=O
BRD-K15918270,-0.5941,-0.26795,0.3678,OC[C@@H]1[C@@H]2[C@@H](CN(C(=O)Nc3cc(F)ccc3F)c3ccccc23)N1Cc1cccnc1
SA-1922257,0.8127,1.4101,0.4035,COc1ccccc1NC(=O)N1CCCCN2[C@H](CO)[C@@H]([C@@H]2C1)c1ccc(cc1)-c1cccc(c1)C#N
SA-1922796,-0.5453,-2.2333,-4.0219,CN(C)CC#Cc1ccc(cc1)[C@@H]1[C@H](CO)N2CCCCN(C[C@@H]12)C(=O)C1CC1
BRD-K74989018,-0.7267,0.59,-1.7456,NC(=O)C1CCN(CC1)c1nc(cs1)-c1ccc(OCc2ccccc2)cc1
BRD-A94567954,1.0727,1.4097,4.4555,COc1ccc(cc1OC)C2c3c(Oc4ccc5ccccc5c24)ncn(CCN6CCOCC6)c3=N
methocarbamol,-0.8169,0.0797,-0.3678,COc1ccccc1OCC(O)COC(N)=O
CGP-52432,0.456,-0.22,0.3001,CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1
STK-397047,-0.3751,1.0667,0.0029,Cc1nn(C)c2nc(=O)n(C)c(=O)c2n1
irinotecan,-0.3853,0.1206,0.451,CCc1c2Cn3c(cc4c(COC(=O)[C@]4(O)CC)c3=O)-c2nc2ccc(OC(=O)N3CCC(CC3)N3CCCCC3)cc12
BRD-K44401329,-0.9866499999999999,0.31965,-1.53555,COc1ccc(cc1)C#Cc1ccc2N[C@H](CO)[C@@H]3CCN([C@@H]3c2c1)C(=O)C1CCC1
BRD-K02990757,-1.3632,-1.7787,-0.0006,CCC(=O)N(C)C[C@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@@H]1C)[C@@H](C)CO)C3=CCCC3
BRD-K27237442,-0.6853,0.20850000000000002,0.06365,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1cccc2ccoc12
COT-10b,3.15815,2.73385,1.4179000000000002,NC(=C)c1cc2c(cnc(N)c2s1)-c1cccc(c1)-c1ccccc1
BRD-A72796238,1.7515,1.5687,-1.0566,CCOC(=O)C1=C(CN2CCc3ccccc23)NC(=O)NC1c4cccc(c4)[N+](=O)[O-]
UCL-2077,-0.1902,-0.7091,0.0,C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)c1cccnc1
SA-1921574,1.422,2.5388,2.8845,OC[C@H]1[C@@H]([C@@H]2CN(CCCCN12)C(=O)Nc1ccccc1)c1ccc(cc1)-c1cccc(c1)C#N
BRD-K12540328,0.5055,0.17035,0.6131,COc1ccccc1Nc2nc(NCCO)nc(n2)N3CCCC3
atomoxetine,0.2846,0.875,-0.0226,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
RHO-kinase-inhibitor-II,-0.6822,-0.10225000000000001,-1.254,Clc1cc(Cl)c(NC(=O)Nc2ccncc2)c(Cl)c1
