ID,Z_RGES,Z_Up,Z_Down,Penalty,Num_Up,Num_Down,Focus_Up,Focus_Down
dromostanolone-propionate,-2.255315601947184,-1.8137320113664972,0.44158359058068675,0.018244079863798175,4,12,0.3,0.23684210526315788
A-33903,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.01098901098901099,2,4,0.5,0.1111111111111111
morinidazole,-2.3891441785720198,-1.8011567128350205,0.5879874657369991,0.005494505494505495,2,5,0.4,0.23529411764705882
bacampicillin,-0.2769734503345358,-1.8137320113664972,-1.5367585610319614,0.007255068874787185,4,5,0.5,0.2222222222222222
benproperine,-2.2200161946343284,-1.8011567128350205,0.4188594817993081,0.005494505494505495,2,6,0.4,0.2631578947368421
cyamemazine,-0.823920259649723,-2.0656415177104845,-1.2417212580607615,0.01098901098901099,3,4,0.42857142857142855,0.14285714285714285
flumecinol,-0.2723958298902551,-1.8011567128350205,-1.5287608829447654,0.005494505494505495,2,6,0.3333333333333333,0.2777777777777778
AZD1446,-2.5125327793569325,-1.8800048103848883,0.6325279689720441,0.01451013774957437,6,8,0.3333333333333333,0.21428571428571427
ginsenoside-rg3,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.6666666666666666,0.16666666666666666
ODM-201,-0.2013964849625145,-1.8137320113664972,-1.6123355264039827,0.01274957436929268,4,3,0.3,0.06666666666666667
promethazine,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.005494505494505495,2,6,0.3333333333333333,0.25
igmesine,-3.0973285625232556,-2.493861684370123,0.6034668781531326,0.02902027549914874,11,19,0.2413793103448276,0.2631578947368421
bupranolol,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.01098901098901099,2,4,0.4,0.1111111111111111
monoctanoin,-2.745178846596569,-2.4122814132151182,0.3328974333814505,0.02549914873858536,7,15,0.4166666666666667,0.22916666666666666
carazolol,-2.3891441785720198,-1.8011567128350205,0.5879874657369991,0.005494505494505495,2,5,0.5,0.2222222222222222
tianeptine,-1.978241922381998,-1.8011567128350205,0.17708520954697748,0.01098901098901099,2,8,0.5,0.2222222222222222
colforsin,-2.2412956653766716,-1.7400610672442447,0.501234598132427,0.009015632255068875,6,6,0.19047619047619047,0.1724137931034483
trimethoquinol,-3.893331586692814,-2.6102259345613845,1.28310565213143,0.021765206624361554,10,17,0.3888888888888889,0.2857142857142857
valethamate,-2.4336846818070645,-1.8011567128350205,0.6325279689720441,0.005494505494505495,2,8,0.3333333333333333,0.35
omeprazole-magnesium,-0.5408045408550619,-1.8011567128350205,-1.2603521719799586,0.005494505494505495,2,7,0.5,0.25
AMG319,-3.717617408490342,-2.5516571610126366,1.1659602474777055,0.01803126451013775,11,13,0.21212121212121213,0.275
butylphthalide,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.6666666666666666,0.13333333333333333
netilmicin,-1.6954868259075848,-1.2741313621724994,0.4213554637350854,0.02373858535830367,2,18,0.125,0.18181818181818182
BQ-123,-1.1899873535313268,-2.0656415177104845,-0.8756541641791579,0.005494505494505495,3,3,0.5,0.16666666666666666
tolamolol,-0.26439815180305914,-1.8011567128350205,-1.5367585610319614,0.01098901098901099,2,5,0.6666666666666666,0.17647058823529413
ulifloxacin,-0.022541217773951017,-1.8011567128350205,-1.7786154950610695,0.01098901098901099,2,6,0.6666666666666666,0.25
enciprazine,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.6666666666666666,0.13333333333333333
sulbactam-pivoxil,-2.1042134938909527,-1.2757216712504758,0.828491822640477,0.03099365423309085,4,19,0.11764705882352941,0.24561403508771928
octreotide,-2.660059035076348,-1.8011567128350205,0.8589023222413273,0.016483516483516484,2,10,0.25,0.2
solamargine,-3.589104624227705,-2.676109303296279,0.912995320931426,0.034727596347314656,7,45,0.2857142857142857,0.19306930693069307
phenylpiracetam,-2.5900797038277936,-1.8011567128350205,0.7889229909927733,0.005494505494505495,2,4,0.6666666666666666,0.21428571428571427
toloxatone,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.01098901098901099,2,4,0.3333333333333333,0.10526315789473684
spiramycin,-3.213420730132485,-1.5623102140472416,1.6511105160852433,0.043743228602383534,6,39,0.2727272727272727,0.2222222222222222
picartamide,-0.17510996464617423,-1.9141551121220681,-1.739045147475894,0.01274957436929268,4,7,0.3,0.18518518518518517
ozolinone,-2.2200161946343284,-1.8011567128350205,0.4188594817993081,0.01098901098901099,2,6,0.5,0.18181818181818182
misoprostol,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.01098901098901099,2,4,0.5,0.08695652173913043
gadoteridol,-2.3069282331074032,-1.8011567128350205,0.5057715202723828,0.01098901098901099,2,9,0.2857142857142857,0.2413793103448276
tiaprofenic-acid,-3.0557783378110415,-2.4232503688389975,0.6325279689720441,0.01098901098901099,4,8,0.5714285714285714,0.24
beclomethasone,0.5055678647386974,0.6826530742856749,0.17708520954697748,0.016270701129856062,5,8,0.14285714285714285,0.24
tiprenolol,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.6666666666666666,0.21428571428571427
MK-571,-2.2200161946343284,-1.8011567128350205,0.4188594817993081,0.005494505494505495,2,6,0.4,0.2777777777777778
homatropine,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.6666666666666666,0.16666666666666666
ibuprofen-piconol,-2.4484865368866204,-1.9141551121220681,0.5343314247645525,0.007255068874787185,4,10,0.375,0.3103448275862069
bafetinib,-4.493310608231216,-3.1298834090519043,1.3634271991793114,0.021765206624361554,12,27,0.23684210526315788,0.2553191489361702
lisadimate,-2.5714130379828672,-2.0656415177104845,0.5057715202723828,0.005494505494505495,3,9,0.5,0.25806451612903225
metazosin,-2.3891441785720198,-1.8011567128350205,0.5879874657369991,0.005494505494505495,2,5,0.5,0.25
tafenoquine,-2.559106387170127,-1.3651599211665135,1.1939464660036136,0.010776195635350566,6,12,0.17647058823529413,0.2894736842105263
SIB-1553A,-2.677559725430389,-2.08957225969339,0.5879874657369991,0.01098901098901099,3,5,0.75,0.15789473684210525
AD-5467,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.6666666666666666,0.1875
ginsenoside-rd,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.5,0.2
tiopronin,-0.48193284926301727,-2.0656415177104845,-1.5837086684474673,0.016483516483516484,3,9,0.5,0.2
gabapentin-enacarbil,0.12239760429398538,-1.2741313621724994,-1.3965289664664848,0.018244079863798175,2,10,0.14285714285714285,0.25925925925925924
albuterol,-0.3130762851775777,-1.5547975432383392,-1.2417212580607615,0.007255068874787185,3,4,0.2857142857142857,0.16666666666666666
degarelix,-1.0195395007978394,-2.551028252356979,-1.5314887515591395,0.016483516483516484,4,7,0.5714285714285714,0.16
perifosine,-3.049335815391587,-2.1930447348250572,0.8562910805665297,0.005494505494505495,3,4,0.6,0.16666666666666666
terguride,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.5,0.125
buclizine,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.01098901098901099,2,6,0.4,0.17391304347826086
citicoline,-2.885497667818758,-2.0718493314918534,0.8136483363269047,0.010776195635350566,8,10,0.21739130434782608,0.2727272727272727
betamethasone-acetate,-2.069696010649734,-1.5353645858851814,0.5343314247645525,0.009015632255068875,5,10,0.21428571428571427,0.21951219512195122
chlorphenesin,0.00017740230982687955,-1.8011567128350205,-1.8013341151448474,0.016483516483516484,2,8,0.5,0.18518518518518517
prulifloxacin,-0.022541217773951017,-1.8011567128350205,-1.7786154950610695,0.01098901098901099,2,6,0.4,0.2
mabuprofen,-2.004157261132909,-1.2757216712504758,0.7284355898824332,0.009015632255068875,4,8,0.2222222222222222,0.30434782608695654
nuclomedone,-2.7359831203767255,-1.8011567128350205,0.9348264075417049,0.005494505494505495,2,6,0.4,0.2631578947368421
cimetropium,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.5,0.14285714285714285
cinepazet,-3.0056148646171637,-2.1224056300470284,0.8832092345701353,0.01274957436929268,5,13,0.4,0.2619047619047619
brivaracetam,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.01098901098901099,2,6,0.5,0.18181818181818182
guacetisal,-2.464412038297695,-1.8011567128350205,0.6632553254626746,0.01098901098901099,2,5,0.3333333333333333,0.16666666666666666
molidustat,-2.173283890979388,-1.4576790079215092,0.7156048830578791,0.007255068874787185,3,12,0.2222222222222222,0.275
rilmenidine,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.5,0.17647058823529413
priralfinamide,-2.715733921900767,-2.0524785964380925,0.6632553254626746,0.005494505494505495,3,5,0.5,0.2222222222222222
L-proline,-2.4336846818070645,-1.8011567128350205,0.6325279689720441,0.01098901098901099,2,8,0.4,0.23076923076923078
denotivir,-1.764130327869048,-1.1632446264008398,0.6008857014682084,0.01979182789041944,8,8,0.23076923076923078,0.2222222222222222
sivelestat,-0.1884195694501618,-1.5353645858851814,-1.3469450164350196,0.01451013774957437,5,8,0.16666666666666666,0.1875
cefotiam,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.5,0.1875
fluorometholone-acetate,-3.720726358666828,-2.36075171582205,1.359974642844778,0.009015632255068875,8,9,0.24,0.21052631578947367
PF-05190457,-0.7734877102303974,-1.8011567128350205,-1.0276690026046231,0.005494505494505495,2,6,0.5,0.3333333333333333
phenylbenzimidazole-sulfonic-acid,-2.513701703367769,-2.1930447348250572,0.3206569685427118,0.005494505494505495,3,7,0.42857142857142855,0.3
piboserod,-2.392505415463214,-1.4576790079215092,0.9348264075417049,0.007255068874787185,3,6,0.2857142857142857,0.21739130434782608
UNC0737,-0.5678478532296019,-1.9147928696646215,-1.3469450164350196,0.016270701129856062,7,8,0.14285714285714285,0.2
quinagolide,-2.6536289834474838,-2.0656415177104845,0.5879874657369991,0.005494505494505495,3,5,0.23076923076923078,0.16666666666666666
elafibranor,-3.3440284039135917,-2.5108111223074037,0.8332172816061879,0.020004643244079863,10,18,0.23529411764705882,0.25
ravuconazole,-0.269667961275881,-1.8011567128350205,-1.5314887515591395,0.01098901098901099,2,7,0.6666666666666666,0.25
XL-647,-0.49195909039190244,-1.4576790079215092,-0.9657199175296067,0.01274957436929268,3,5,0.18181818181818182,0.14285714285714285
MK-6096,-3.249871459949979,-2.551028252356979,0.6988432075930002,0.01098901098901099,4,10,0.4444444444444444,0.25806451612903225
"1,12-Besm",-1.2148522145850797,-2.7213595059833198,-1.50650729139824,0.02373858535830367,7,12,0.375,0.2
perzinfotel,-2.4336846818070645,-1.8011567128350205,0.6325279689720441,0.005494505494505495,2,8,0.5,0.25925925925925924
VE-822,-3.2150368976074173,-2.2749167237138708,0.9401201738935465,0.03824872310787804,10,33,0.2692307692307692,0.20149253731343283
hexamethylenebisacetamide,0.00017740230982687955,-1.8011567128350205,-1.8013341151448474,0.016483516483516484,2,8,0.5,0.23809523809523808
GSK2330672,-2.8944735085508575,-2.388701988278475,0.5057715202723828,0.01098901098901099,4,9,0.8,0.30434782608695654
A-366,-0.38395135671373315,-1.780480323180218,-1.3965289664664848,0.020004643244079863,4,10,0.16666666666666666,0.25
E-64,-3.1886765905007355,-2.696020760248661,0.49265583025207427,0.02373858535830367,7,20,0.42857142857142855,0.22857142857142856
bremelanotide,-2.9371648488819604,-1.9763082167677604,0.9608566321141999,0.018244079863798175,5,15,0.25,0.2857142857142857
velneperit,-0.022541217773951017,-1.8011567128350205,-1.7786154950610695,0.01098901098901099,2,6,0.5,0.15384615384615385
lofemizole,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.01098901098901099,2,6,0.5,0.2
daprodustat,-0.269667961275881,-1.8011567128350205,-1.5314887515591395,0.01098901098901099,2,7,0.4,0.25
CL316243,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.6666666666666666,0.18181818181818182
L-methionine,-2.4336846818070645,-1.8011567128350205,0.6325279689720441,0.01098901098901099,2,8,0.5,0.23076923076923078
vinblastine,-6.437797051487676,-3.6430542303853115,2.794742821102364,0.05761492029097663,35,59,0.14189189189189189,0.2523809523809524
apratastat,-0.26439815180305914,-1.8011567128350205,-1.5367585610319614,0.005494505494505495,2,5,0.6666666666666666,0.2857142857142857
PF-03049423,-2.462594859439175,-1.751381856508236,0.7112130029309389,0.01274957436929268,4,15,0.23076923076923078,0.24528301886792453
Org-12962,-2.044342156460698,-1.5547975432383392,0.4895446132223588,0.02373858535830367,3,13,0.25,0.21951219512195122
norethisterone-enanthate,-2.1834835493294076,-1.8011567128350205,0.38232683649438715,0.005494505494505495,2,8,0.2857142857142857,0.21875
palosuran,-2.0396441816371915,-1.4071162126651475,0.6325279689720441,0.021765206624361554,6,8,0.21428571428571427,0.23809523809523808
7-keto-DHEA,-2.5994074599627317,-1.8800048103848883,0.7194026495778435,0.020004643244079863,6,23,0.21052631578947367,0.2898550724637681
mavoglurant,-2.7359831203767255,-1.8011567128350205,0.9348264075417049,0.005494505494505495,2,6,0.5,0.22727272727272727
frovatriptan,-2.5900797038277936,-1.8011567128350205,0.7889229909927733,0.005494505494505495,2,4,0.6666666666666666,0.16666666666666666
YM022,1.4272924200797594,-0.18504310632422316,-1.6123355264039827,0.005494505494505495,1,3,1.0,0.2
elbasvir,-3.0036733515692284,-2.015376705952823,0.9882966456164053,0.021552391270701132,12,22,0.15789473684210525,0.26666666666666666
deferoxamine-mesylate,-0.022541217773951017,-1.8011567128350205,-1.7786154950610695,0.01098901098901099,2,6,0.5,0.2222222222222222
tasuldine,-2.628177150319411,-2.1224056300470284,0.5057715202723828,0.007255068874787185,5,9,0.3333333333333333,0.3076923076923077
ethacizin,-0.8175710752962673,-0.18504310632422316,0.6325279689720441,0.01098901098901099,1,8,0.3333333333333333,0.2222222222222222
perphenazine,-3.782541526012858,-1.6622538269776301,2.1202876990352277,0.042679151834081414,27,21,0.07086614173228346,0.3114754098360656
niceritrol,-3.3567195102222245,-2.1054041342679723,1.2513153759542524,0.01274957436929268,5,7,0.2857142857142857,0.2
NE-100,-2.529302889328778,-2.1224056300470284,0.4068972592817496,0.01274957436929268,5,10,0.4,0.25806451612903225
evatanepag,-0.269667961275881,-1.8011567128350205,-1.5314887515591395,0.01098901098901099,2,7,0.2222222222222222,0.2
eprodisate,-0.7925208145828784,-2.0656415177104845,-1.2731207031276062,0.01098901098901099,3,9,0.5,0.28
ABT-639,-2.7359831203767255,-1.8011567128350205,0.9348264075417049,0.005494505494505495,2,6,0.6666666666666666,0.22727272727272727
pardoprunox,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.3333333333333333,0.2
zaltidine,-2.7359831203767255,-1.8011567128350205,0.9348264075417049,0.01098901098901099,2,6,0.6666666666666666,0.2
moxaverine,-2.8255727037971012,-2.1930447348250572,0.6325279689720441,0.005494505494505495,3,8,0.5,0.2916666666666667
veliflapon,-2.60351704149822,-1.8011567128350205,0.8023603286631994,0.005494505494505495,2,7,0.4,0.2727272727272727
carbendazim,-2.712566404125912,-2.0718493314918534,0.6407170726340587,0.03275421761337254,8,23,0.18518518518518517,0.20930232558139536
UNC0631,-3.036376003750931,-1.7173032447851486,1.319072758965782,0.020004643244079863,5,16,0.125,0.23636363636363636
rifamycin-sv,-2.7722076723738964,-2.0656415177104845,0.706566154663412,0.016483516483516484,3,9,0.75,0.20689655172413793
radafaxine,-2.4148045477756868,-2.1224056300470284,0.29239891772865845,0.01274957436929268,5,7,0.5,0.29411764705882354
vesnarinone,-2.8223144143389565,-2.403903985865085,0.41841042847387183,0.01098901098901099,4,9,0.5,0.30434782608695654
cyclosporine,-8.426261313802259,-5.493370448210372,2.9328908655918875,0.11528788113295156,90,46,0.06851851851851852,0.28187919463087246
naphthoquine-phosphate,-0.6562861737930958,-2.1930447348250572,-1.5367585610319614,0.01098901098901099,3,5,0.375,0.15789473684210525
danirixin,-2.4859693137042482,-1.8011567128350205,0.6848126008692279,0.01098901098901099,2,11,0.2,0.2571428571428571
omarigliptin,-1.0360265979822771,-2.1930447348250572,-1.15701813684278,0.01098901098901099,3,9,0.5,0.2
daucosterol,-2.65299581402739,-1.5353645858851814,1.1176312281422085,0.009015632255068875,5,13,0.3333333333333333,0.25
zometapine,-0.823920259649723,-2.0656415177104845,-1.2417212580607615,0.01098901098901099,3,4,0.42857142857142855,0.1
drotaverine,-2.753233499731605,-2.167896193202443,0.5853373065291616,0.017818449156477324,13,11,0.15384615384615385,0.30303030303030304
somatostatin,-2.6713497603869154,-2.1991857849806147,0.47216397540630056,0.020004643244079863,7,18,0.21739130434782608,0.22058823529411764
tranexamic-acid,-3.0665776328447856,-2.0718493314918534,0.9947283013529321,0.021765206624361554,8,16,0.2,0.26
mupirocin,-0.9255025486558627,-1.8011567128350205,-0.8756541641791579,0.005494505494505495,2,3,0.5,0.09523809523809523
fmoc-l-leucine,1.078562961510669,-0.18504310632422316,-1.2636060678348922,0.01098901098901099,1,6,0.3333333333333333,0.2222222222222222
dehydroepiandrosterone-sulfate,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.01098901098901099,2,6,0.4,0.16666666666666666
GSK2190915,-4.206942729571425,-3.0467393976872006,1.1602033318842244,0.03430196563999381,18,28,0.20754716981132076,0.26666666666666666
bis(maltolato)oxovanadium(IV),-2.2114652639931593,-1.5353645858851814,0.676100678107978,0.01451013774957437,5,10,0.16666666666666666,0.1951219512195122
forodesine,-2.9379535425213286,-2.435644831049098,0.5023087114722308,0.01274957436929268,6,10,0.4166666666666667,0.25
bicyclol,-0.2723958298902551,-1.8011567128350205,-1.5287608829447654,0.005494505494505495,2,6,0.6666666666666666,0.2631578947368421
nastorazepide,-2.4824081709834918,-1.9141551121220681,0.5682530588614236,0.018244079863798175,4,12,0.23076923076923078,0.225
delamanid,-2.081368131581666,-1.146541724039961,0.9348264075417049,0.016270701129856062,5,6,0.13333333333333333,0.2
indisulam,-0.29379479646336226,-1.8011567128350205,-1.5073619163716583,0.01098901098901099,2,8,0.3333333333333333,0.2608695652173913
decoquinate,-0.5375506450001284,-1.8011567128350205,-1.2636060678348922,0.005494505494505495,2,6,0.3333333333333333,0.2631578947368421
cinoxate,-2.537498773990161,-1.5353645858851814,1.00213418810498,0.01451013774957437,5,15,0.2727272727272727,0.2826086956521739
chenodeoxycholic-acid,-0.47952998254541135,-1.8011567128350205,-1.3216267302896092,0.005494505494505495,2,2,0.6666666666666666,0.07692307692307693
melevodopa,-2.3891441785720198,-1.8011567128350205,0.5879874657369991,0.01098901098901099,2,5,0.5,0.16666666666666666
schisandrol-b,-1.998722586815974,-1.2425380939891015,0.7561844928268723,0.02902027549914874,7,14,0.2,0.19230769230769232
salvianolic-acid-B,-3.1800841560943924,-2.6102259345613845,0.5698582215330079,0.021765206624361554,10,19,0.2692307692307692,0.27586206896551724
bendazac,-1.1402979180301926,-2.403903985865085,-1.2636060678348922,0.01098901098901099,4,6,0.6666666666666666,0.23529411764705882
BMS-587101,-2.5731913988783592,-1.8011567128350205,0.7720346860433385,0.005494505494505495,2,7,0.6666666666666666,0.2608695652173913
LY2606368,-2.4336846818070645,-1.8011567128350205,0.6325279689720441,0.01098901098901099,2,8,0.5,0.1875
BNC105,-2.6631373651480525,-1.383621291065706,1.2795160740823466,0.016270701129856062,6,11,0.13636363636363635,0.28125
AMG-319,-3.7386453315310386,-2.5840618558752046,1.154583475655834,0.028807460145488316,17,13,0.11764705882352941,0.21739130434782608
enoximone,-2.854564508703258,-2.0656415177104845,0.7889229909927733,0.005494505494505495,3,4,0.75,0.16666666666666666
selexipag,-0.9166748715020405,-2.412242267391891,-1.4955673958898503,0.018244079863798175,6,12,0.4166666666666667,0.225
semapimod,-2.4575585206868547,-1.64391018435995,0.8136483363269047,0.021552391270701132,11,10,0.16666666666666666,0.24242424242424243
fimasartan,-3.2985701068645614,-2.2869459324371166,1.0116241744274448,0.01274957436929268,5,8,0.4,0.2222222222222222
leteprinim,-0.7159560447878017,-1.9763082167677604,-1.2603521719799586,0.007255068874787185,5,7,0.26666666666666666,0.25
napabucasin,-0.6615559832659177,-2.1930447348250572,-1.5314887515591395,0.016483516483516484,3,7,0.6,0.19047619047619047
ceritinib,-3.4755572708226445,-2.2554270211056475,1.220130249716997,0.01451013774957437,7,10,0.25,0.27586206896551724
EGF816,-2.5753715713194443,-2.1930447348250572,0.38232683649438715,0.005494505494505495,3,8,0.3,0.25925925925925924
metacresol,-0.534152766151345,-2.0656415177104845,-1.5314887515591395,0.01098901098901099,3,7,0.5,0.20833333333333334
dihydrotestosterone,-3.408790320837711,-2.254206845181877,1.154583475655834,0.007255068874787185,6,13,0.2631578947368421,0.2727272727272727
gidazepam,-1.87012694130661,-3.133733009141502,-1.2636060678348922,0.014297322395913945,15,6,0.23255813953488372,0.19230769230769232
AFN-1252,-1.2906760803770203,-2.551028252356979,-1.2603521719799586,0.01098901098901099,4,7,0.5714285714285714,0.19230769230769232
fosaprepitant-dimeglumine,-0.559435454774259,-1.8011567128350205,-1.2417212580607615,0.005494505494505495,2,4,0.6666666666666666,0.21428571428571427
pralidoxime-chloride,-3.0050554087229253,-2.1054041342679723,0.8996512744549527,0.007255068874787185,5,9,0.4,0.32
methylprednisolone-aceponate,-0.8417980664330802,-2.1054041342679723,-1.2636060678348922,0.007255068874787185,5,6,0.3333333333333333,0.21739130434782608
icaritin,-2.18492961738378,-1.552401648411736,0.6325279689720441,0.020004643244079863,5,8,0.42857142857142855,0.20833333333333334
setipiprant,-2.2200161946343284,-1.8011567128350205,0.4188594817993081,0.005494505494505495,2,6,0.5,0.3333333333333333
amibegron,-2.3891441785720198,-1.8011567128350205,0.5879874657369991,0.005494505494505495,2,5,0.4,0.26666666666666666
copanlisib,-1.5929925100439593,-1.2757216712504758,0.31727083879348356,0.02549914873858536,4,16,0.2222222222222222,0.26666666666666666
JNJ-26990990,-2.805364546312215,-2.0823932878688205,0.7229712584433947,0.005494505494505495,3,11,0.42857142857142855,0.29411764705882354
triclocarban,-2.3891441785720198,-1.8011567128350205,0.5879874657369991,0.01098901098901099,2,5,0.4,0.13636363636363635
cis-urocanic acid,-2.9618822708549803,-1.9141551121220681,1.0477271587329122,0.01274957436929268,4,14,0.16666666666666666,0.2553191489361702
cinflumide,-3.3808333611178893,-2.696020760248661,0.6848126008692279,0.01274957436929268,7,11,0.35294117647058826,0.3103448275862069
oxytocin,-3.197008791997507,-2.773018112431677,0.42399067956583014,0.01451013774957437,9,14,0.25925925925925924,0.21428571428571427
chlorproguanil,-3.2954859359861475,-1.8800048103848883,1.4154811256012592,0.009015632255068875,6,11,0.17391304347826086,0.35714285714285715
ezutromid,-0.026036660293573766,-1.5547975432383392,-1.5287608829447654,0.007255068874787185,3,6,0.4,0.23809523809523808
resibufogenin,-4.044983607172622,-2.7558039508996006,1.289179656273021,0.01451013774957437,8,30,0.2857142857142857,0.27450980392156865
