Drug	SMILES
capreomycin	NCCCC(N)CC(=O)NCC1NC(=O)C(CO)NC(=O)C(N)CNC(=O)C(NC(=O)\C(NC1=O)=C/NC(N)=O)C1CCNC(=N)N1
oritavancin	CNC(CC(C)C)C(=O)NC1C(O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)C(OC5CC(C)(N)C(O)C(C)O5)C5NC(=O)C(NC(=O)C4NC(=O)C(CC(N)=O)NC1=O)c1ccc(O)c(c1)-c1c(O)cc(O)cc1C(NC5=O)C(O)=O)c3OC1OC(CO)C(O)C(O)C1OC1CC(C)(NCc3ccc(cc3)-c3ccc(Cl)cc3)C(O)C(C)O1)c(Cl)c2
terodiline	CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C
hexoprenaline	OC(CNCCCCCCNCC(O)c1ccc(O)c(O)c1)c1ccc(O)c(O)c1
tropesin	COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCC(C(O)=O)c3ccccc3)c2c1
tetracycline	CN(C)[C@H]1[C@@H]2C[C@H]3C(C(=O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)C(C(N)=O)C1=O
propylhexedrine	CNC(C)CC1CCCCC1
dromostanolone-propionate	CCC(=O)OC1CCC2C3CCC4CC(=O)C(C)CC4(C)C3CCC12C
A-33903	CC(=O)NC1C(=O)Nc2ccccc2C(=N1)c1ccccc1
morinidazole	Cc1ncc(n1CC(O)CN1CCOCC1)[N+]([O-])=O
bacampicillin	CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c1ccccc1)C2=O
benproperine	CC(COc1ccccc1Cc1ccccc1)N1CCCCC1
cyamemazine	CC(CN(C)C)CN1c2ccccc2Sc2ccc(cc12)C#N
flumecinol	CCC(O)(c1ccccc1)c1cccc(c1)C(F)(F)F
AZD1446	Clc1ccc(o1)C(=O)N1CC2CNCC2C1
ginsenoside-rg3	CC(C)=CCCC(C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C
ODM-201	C[C@@H](Cn1ccc(n1)-c1ccc(C#N)c(Cl)c1)NC(=O)c1cc([nH]n1)C(C)O
promethazine	CC(CN1c2ccccc2Sc2ccccc12)N(C)C
igmesine	CCC(C\C=C\c1ccccc1)(N(C)CC1CC1)c1ccccc1
bupranolol	Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1
monoctanoin	CCCCCCCC(=O)OCC(O)CO
carazolol	CC(C)NCC(O)COc1cccc2[nH]c3ccccc3c12
tianeptine	CN1c2ccccc2C(NCCCCCCC(O)=O)c2ccc(Cl)cc2S1(=O)=O
colforsin	CC(=O)O[C@H]1[C@@H](O)C2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C
trimethoquinol	COc1cc(CC2NCCc3cc(O)c(O)cc23)cc(OC)c1OC
valethamate	CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
omeprazole-magnesium	COc1ccc2n([Mg]n3c(nc4cc(OC)ccc34)S(=O)Cc3ncc(C)c(OC)c3C)c(nc2c1)S(=O)Cc1ncc(C)c(OC)c1C
AMG319	CC(Nc1ncnc2nc[nH]c12)c1cc2ccc(F)cc2nc1-c1ccccn1
butylphthalide	CCCCC1OC(=O)c2ccccc12
netilmicin	CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1OC1OC[C@](C)(O)[C@H](NC)[C@H]1O
BQ-123	CC(C)CC1NC(=O)C(NC(=O)C2CCCN2C(=O)C(CC(O)=O)NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O)C(C)C
tolamolol	Cc1ccccc1OCC(O)CNCCOc1ccc(cc1)C(N)=O
ulifloxacin	CC1Sc2c(C(O)=O)c(=O)c3cc(F)c(cc3n12)N1CCNCC1
enciprazine	COc1ccccc1N1CCN(CC(O)COc2cc(OC)c(OC)c(OC)c2)CC1
sulbactam-pivoxil	CC(C)(C)C(=O)OCOC(=O)C1N2C(CC2=O)S(=O)(=O)C1(C)C
octreotide	CC(O)C(CO)NC(=O)C1CSSCC(NC(=O)C(N)Cc2ccccc2)C(=O)NC(Cc2ccccc2)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCCN)C(=O)NC(C(C)O)C(=O)N1
solamargine	CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(C)C(O)C(O)C3O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(C)CN1
phenylpiracetam	NC(=O)CN1CC(CC1=O)c1ccccc1
toloxatone	Cc1cccc(c1)N1CC(CO)OC1=O
spiramycin	CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C\C=C\C=C\[C@H](O[C@H]2CC[C@@H]([C@@H](C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1OC1O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C
picartamide	CNC(=S)C1(CCCS1)c1ccccn1
ozolinone	CN1C(=O)C(S\C1=C/C(O)=O)N1CCCCC1
misoprostol	CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC
gadoteridol	CC(O)CN1CCN2CCN3CCN(CC1)CC(=O)O[Gd](OC(=O)C2)OC(=O)C3
tiaprofenic-acid	CC(C(O)=O)c1ccc(s1)C(=O)c1ccccc1
beclomethasone	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO
tiprenolol	CSc1ccccc1OCC(O)CNC(C)C
MK-571	CN(C)C(=O)CCSC(SCCC(O)=O)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1
homatropine	CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)c1ccccc1
ibuprofen-piconol	CC(C)Cc1ccc(cc1)C(C)C(=O)OCc1ccccn1
bafetinib	CN(C)C1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2ccc(C)c(Nc3ncc(cn3)-c3cncnc3)c2)C1
lisadimate	Nc1ccc(cc1)C(=O)OCC(O)CO
metazosin	COC(C)C(=O)N1CCN(CC1)c1nc(N)c2cc(OC)c(OC)cc2n1
tafenoquine	COc1cc(C)c2c(Oc3cccc(c3)C(F)(F)F)c(OC)cc(NC(C)CCCN)c2n1
SIB-1553A	CN1CCCC1CCSc1ccc(O)cc1
AD-5467	CC(C)C1Oc2c(cccc2N(CC(O)=O)C1=S)C(C)C
ginsenoside-rd	CC(C)=CCCC(C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C
tiopronin	CC(S)C(=O)NCC(O)=O
gabapentin-enacarbil	CC(C)C(=O)OC(C)OC(=O)NCC1(CC(O)=O)CCCCC1
albuterol	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
degarelix	CC(C)CC(NC(=O)C(Cc1ccc(NC(N)=O)cc1)NC(=O)C(Cc1ccc(NC(=O)C2CC(=O)NC(=O)N2)cc1)NC(=O)C(CO)NC(=O)C(Cc1cccnc1)NC(=O)C(Cc1ccc(Cl)cc1)NC(=O)C(Cc1ccc2ccccc2c1)NC(C)=O)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O
perifosine	CCCCCCCCCCCCCCCCCCOP(O)(=O)OC1CC[N+](C)(C)CC1
terguride	CCN(CC)C(=O)N[C@H]1CC2C(Cc3c[nH]c4cccc2c34)N(C)C1
buclizine	CC(C)(C)c1ccc(CN2CCN(CC2)C(c2ccccc2)c2ccc(Cl)cc2)cc1
citicoline	C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(N)nc1=O
betamethasone-acetate	C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O
chlorphenesin	OCC(O)COc1ccc(Cl)cc1
prulifloxacin	CC1Sc2c(C(O)=O)c(=O)c3cc(F)c(cc3n12)N1CCN(Cc2oc(=O)oc2C)CC1
mabuprofen	CC(C)Cc1ccc(cc1)C(C)C(=O)NCCO
nuclomedone	Clc1ccc(CC2C(=O)N=C3SCCN3C2=O)cc1
cimetropium	C[N+]1(CC2CC2)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1
cinepazet	CCOC(=O)CN1CCN(CC1)C(=O)\C=C\c1cc(OC)c(OC)c(OC)c1
brivaracetam	CCC[C@H]1CN([C@@H](CC)C(N)=O)C(=O)C1
guacetisal	COc1ccccc1OC(=O)c1ccccc1OC(C)=O
molidustat	O=c1c(c[nH]n1-c1cc(ncn1)N1CCOCC1)-n1ccnn1
rilmenidine	C1CC1C(NC1=NCCO1)C1CC1
priralfinamide	C[C@H](NCc1ccc(OCc2ccccc2F)cc1)C(N)=O
L-proline	OC(=O)[C@@H]1CCCN1
denotivir	Cc1nsc(NC(=O)c2ccccc2)c1C(=O)Nc1ccc(Cl)cc1
sivelestat	CC(C)(C)C(=O)Oc1ccc(cc1)S(=O)(=O)Nc1ccccc1C(=O)NCC(O)=O
cefotiam	CN(C)CCn1nnnc1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc1csc(N)n1)C2=O)C(O)=O
fluorometholone-acetate	C[C@H]1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]2(C)C=CC(=O)C=C12
PF-05190457	Cc1cn2cc(CC(=O)N3CCC4(CN(C4)[C@@H]4CCc5cc(ccc45)-c4cc(C)ncn4)CC3)nc2s1
phenylbenzimidazole-sulfonic-acid	OS(=O)(=O)c1ccc2[nH]c(nc2c1)-c1ccccc1
piboserod	CCCCN1CCC(CNC(=O)c2c3OCCCn3c3ccccc23)CC1
UNC0737	COc1cc2c(nc(nc2cc1OCCCN1CCCC1)C1CCCCC1)N(C)C1CCN(CC1)C(C)C
quinagolide	CCCN1C[C@H](C[C@@H]2Cc3c(O)cccc3C[C@@H]12)NS(=O)(=O)N(CC)CC
elafibranor	CSc1ccc(cc1)C(=O)\C=C\c1cc(C)c(OC(C)(C)C(O)=O)c(C)c1
ravuconazole	C[C@@H](c1nc(cs1)-c1ccc(cc1)C#N)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
XL-647	COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@H]1C[C@H]2CN(C)C[C@H]2C1
MK-6096	C[C@@H]1CC[C@@H](COc2ccc(F)cn2)CN1C(=O)c1cc(C)ccc1-c1ncccn1
1,12-Besm	CCNCCCNCCCCNCCCNCC
perzinfotel	OP(O)(=O)CCN1CCCNc2c1c(=O)c2=O
VE-822	CNCc1ccc(cc1)-c1cc(on1)-c1nc(cnc1N)-c1ccc(cc1)S(=O)(=O)C(C)C
hexamethylenebisacetamide	CC(=O)NCCCCCCNC(C)=O
GSK2330672	CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(O)=O)CC(O)=O)c(OC)cc2[C@H](N1)c1ccccc1
A-366	COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1
E-64	CC(C)C[C@H](NC(=O)[C@@H]1O[C@H]1C(O)=O)C(=O)NCCCCN=C(N)N
bremelanotide	CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](Cc2cnc[nH]2)NC1=O)C(O)=O
velneperit	CC(C)(C)S(=O)(=O)N[C@H]1CC[C@@H](CC1)C(=O)Nc1ccc(cn1)C(F)(F)F
lofemizole	Cc1nc[nH]c1-c1ccc(Cl)cc1
daprodustat	OC(=O)CNC(=O)C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O
CL316243	C[C@H](Cc1ccc2OC(Oc2c1)(C(O)=O)C(O)=O)NC[C@H](O)c1cccc(Cl)c1
L-methionine	CSCC[C@H](N)C(O)=O
vinblastine	CC[C@]1(O)C[C@@H]2C[N@](C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
apratastat	CC1(C)SCCN([C@H]1C(=O)NO)S(=O)(=O)c1ccc(OCC#CCO)cc1
PF-03049423	CCCOCCn1c2cc(ncc2nc(N2CCN(CCO)CC2)c1=O)-c1ccc(OC)nc1
Org-12962	FC(F)(F)c1ccc(nc1Cl)N1CCNCC1
norethisterone-enanthate	CCCCCCC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C
palosuran	Cc1cc(NC(=O)NCCN2CCC(O)(Cc3ccccc3)CC2)c2ccccc2n1
7-keto-DHEA	CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3C(=O)C=C2C1
mavoglurant	COC(=O)N1CC[C@@H]2[C@H]1CCC[C@@]2(O)C#Cc1cccc(C)c1
frovatriptan	CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(N)=O
YM022	Cc1cccc(NC(=O)N[C@@H]2N=C(c3ccccc3)c3ccccc3N(CC(=O)c3ccccc3C)C2=O)c1
elbasvir	COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1ncc([nH]1)-c1ccc2-c3cc4cc(ccc4n3[C@@H](Oc2c1)c1ccccc1)-c1cnc([nH]1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C
deferoxamine-mesylate	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
tasuldine	C(Sc1ncccn1)c1cccnc1
ethacizin	CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN(CC)CC)c2c1
perphenazine	OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1
niceritrol	O=C(OCC(COC(=O)c1cccnc1)(COC(=O)c1cccnc1)COC(=O)c1cccnc1)c1cccnc1
NE-100	CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1
evatanepag	CC(C)(C)c1ccc(CN(Cc2cccc(OCC(O)=O)c2)S(=O)(=O)c2cccnc2)cc1
eprodisate	OS(=O)(=O)CCCS(O)(=O)=O
ABT-639	Fc1ccccc1NS(=O)(=O)c1cc(C(=O)N2CCN3CCC[C@@H]3C2)c(Cl)cc1F
pardoprunox	CN1CCN(CC1)c1cccc2[nH]c(=O)oc12
zaltidine	Cc1ncc([nH]1)-c1csc(NC(N)=N)n1
moxaverine	CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1
veliflapon	OC(=O)[C@H](C1CCCC1)c1ccc(OCc2ccc3ccccc3n2)cc1
carbendazim	COC(=O)Nc1nc2ccccc2[nH]1
UNC0631	COc1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(nc2cc1OCCCN1CCCCC1)N1CCCN(CC1)C(C)C
rifamycin-sv	CO[C@H]1C=CO[C@@]2(C)Oc3c(C2=O)c2c(O)cc(NC(=O)\C(C)=C/C=C\[C@@H](C)[C@@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@H]([C@H]1C)C(=O)OC)c(O)c2c(O)c3C
radafaxine	C[C@@H]1NC(C)(C)CO[C@@]1(O)c1cccc(Cl)c1
vesnarinone	COc1ccc(cc1OC)C(=O)N1CCN(CC1)c1ccc2NC(=O)CCc2c1
cyclosporine	CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C
naphthoquine-phosphate	CC(C)(C)NCc1cc(Nc2ccnc3cc(Cl)ccc23)c2CCCCc2c1O
danirixin	Cc1c(F)cccc1NC(=O)Nc1ccc(Cl)c(c1O)S(=O)(=O)[C@H]1CCCNC1
omarigliptin	CS(=O)(=O)n1cc2CN(Cc2n1)[C@H]1CO[C@@H]([C@@H](N)C1)c1cc(F)ccc1F
daucosterol	CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)C
zometapine	Cc1nn(C)c2NCCN=C(c12)c1cccc(Cl)c1
drotaverine	CCOc1ccc(\C=C2\NCCc3cc(OCC)c(OCC)cc23)cc1OCC
somatostatin	C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccccc2)NC1=O)[C@@H](C)O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N
tranexamic-acid	NC[C@H]1CC[C@@H](CC1)C(O)=O
mupirocin	C[C@H](O)[C@H](C)[C@@H]1O[C@H]1C[C@H]1CO[C@@H](C\C(C)=C\C(=O)OCCCCCCCCC(O)=O)[C@H](O)[C@@H]1O
fmoc-l-leucine	CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O
dehydroepiandrosterone-sulfate	C[C@]12CC[C@H]3[C@@H](CC=C4C[C@H](CC[C@]34C)OS(O)(=O)=O)[C@@H]1CCC2=O
GSK2190915	CCOc1ccc(cn1)-c1ccc(Cn2c(CC(C)(C)C(O)=O)c(SC(C)(C)C)c3cc(OCc4ccc(C)cn4)ccc23)cc1
bis(maltolato)oxovanadium(IV)	Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O
forodesine	OC[C@H]1N[C@H]([C@H](O)[C@@H]1O)c1c[nH]c2c1[nH]cnc2=O
bicyclol	COC(=O)c1cc(OC)c2OCOc2c1-c1c2OCOc2c(OC)cc1CO
nastorazepide	CC(C)(C)C(=O)CN1c2ccccc2N(C[C@@H](NC(=O)Nc2cccc(c2)C(O)=O)C1=O)C1CCCCC1
delamanid	C[C@]1(COc2ccc(cc2)N2CCC(CC2)Oc2ccc(OC(F)(F)F)cc2)Cn2cc(nc2O1)[N+]([O-])=O
indisulam	NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12
decoquinate	CCCCCCCCCCOc1cc2c(O)c(cnc2cc1OCC)C(=O)OCC
cinoxate	CCOCCOC(=O)\C=C\c1ccc(OC)cc1
chenodeoxycholic-acid	C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
melevodopa	COC(=O)C(N)Cc1ccc(O)c(O)c1
schisandrol-b	COc1cc2C[C@](C)(O)[C@@H](C)Cc3cc4OCOc4c(OC)c3-c2c(OC)c1OC
salvianolic-acid-B	OC(=O)[C@@H](Cc1ccc(O)c(O)c1)OC(=O)\C=C\c1ccc(O)c2O[C@H]([C@H](C(=O)O[C@H](Cc3ccc(O)c(O)c3)C(O)=O)c12)c1ccc(O)c(O)c1
bendazac	OC(=O)COc1nn(Cc2ccccc2)c2ccccc12
BMS-587101	CN1C(=O)N(C(=O)[C@]11CN(Cc2cc(cs2)C(O)=O)C[C@H]1c1ccc(cc1)C#N)c1cc(Cl)cc(Cl)c1
LY2606368	COc1cccc(OCCCN)c1-c1cc(Nc2cnc(cn2)C#N)n[nH]1
BNC105	COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c(C)oc2c1O
AMG-319	C[C@H](Nc1ncnc2[nH]cnc12)c1cc2ccc(F)cc2nc1-c1ccccn1
enoximone	CSc1ccc(cc1)C(=O)c1[nH]c(O)nc1C
selexipag	CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(n1)-c1ccccc1
semapimod	NC(=N)NNC(=C)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(cc(c2)C(=C)NNC(N)=N)C(=C)NNC(N)=N)cc(c1)C(=C)NNC(N)=N
fimasartan	CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(cc1)-c1ccccc1-c1nnn[nH]1
leteprinim	OC(=O)c1ccc(NC(=O)CCn2cnc3c(O)ncnc23)cc1
napabucasin	CC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O
ceritinib	CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1
EGF816	CN(C)C\C=C\C(=O)N1CCCC[C@H](C1)n1c(NC(=O)c2ccnc(C)c2)nc2cccc(Cl)c12
metacresol	Cc1cccc(O)c1
dihydrotestosterone	C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
gidazepam	NNC(=O)CN1c2ccc(Br)cc2C(=NCC1=O)c1ccccc1
AFN-1252	CN(Cc1oc2ccccc2c1C)C(=O)\C=C\C1=CNC2=NC(=O)CCC2=C1
fosaprepitant-dimeglumine	C[C@@H](O[C@H]1OCCN(Cc2nn(c(=O)[nH]2)P(O)(O)=O)[C@H]1c1ccc(F)cc1)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
pralidoxime-chloride	C[n+]1ccccc1C[N+][O-]
methylprednisolone-aceponate	CCC(=O)O[C@@]1(CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)C(=O)COC(C)=O
icaritin	COc1ccc(cc1)-c1oc2c(CC=C(C)C)c(O)cc(O)c2c(=O)c1O
setipiprant	OC(=O)Cn1c2CCN(Cc2c2cc(F)ccc12)C(=O)c1cccc2ccccc12
amibegron	CCOC(=O)COc1ccc2CC[C@@H](Cc2c1)NC[C@H](O)c1cccc(Cl)c1
copanlisib	COc1c(OCCCN2CCOCC2)ccc2C3=NCCN3C(NC(=O)c3cnc(N)nc3)=Nc12
JNJ-26990990	NS(=O)(=O)NCc1csc2ccccc12
triclocarban	Clc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1
cis-urocanic acid	OC(=O)\C=C/c1c[nH]cn1
cinflumide	Fc1cccc(c1)\C=C\C(=O)NC1CC1
oxytocin	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O
chlorproguanil	CC(C)NC(=N)NC(=N)Nc1ccc(Cl)c(Cl)c1
ezutromid	CCN(CC)c1ccc(cc1)-n1nc2cc(C)c(N)cc2n1
resibufogenin	C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@]11O[C@@H]1C[C@@H]2c1ccc(=O)oc1
desoxycorticosterone-pivalate	CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
tucatinib	Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1
