"","identifier","log2FoldChange","logCPM","LR","pvalue","padj","tax_id","GeneID","LocusTag","chromosome","map_location","description","type","Symbol_autho","name","status","other","Symbol"
"11","ENSG00000001497",0.147535143197401,5.86370021283324,0.442604210496853,0.505868184712216,1,9606,81887,"RP3-475B7.2","X","Xq12","LAS1-like (S. cerevisiae)","protein-coding","LAS1L","LAS1-like (S. cerevisiae)","O","protein LAS1 homolog|ribosomal biogenesi","LAS1L"
"12","ENSG00000001561",-0.429063642980565,2.01668114350344,2.44817214390307,0.11766181045251,1,9606,22875,"NULL","6","6p21.1","ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)","protein-coding","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)","O","E-NPP 4|NPP-4|ectonucleotide pyrophospha","ENPP4"
"13","ENSG00000001617",-0.12955631998888,3.09609053765088,0.201856912028644,0.653226156662125,1,9606,6405,"NULL","3","3p21.3","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","protein-coding","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F","O","sema III/F|sema IV|sema domain, immunogl","SEMA3F"
"14","ENSG00000001626",-0.109040459505881,0.876359392666936,0.0911214134057454,0.762756322369253,1,9606,1080,"tcag7.78","7","7q31.2","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","protein-coding","CFTR","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","O","cAMP-dependent chloride channel|channel ","CFTR"
"15","ENSG00000001629",-0.147964959620735,5.76576662249431,0.395057717489586,0.529652759517794,1,9606,54467,"NULL","7","7q21.2","ankyrin repeat and IBR domain containing 1","protein-coding","ANKIB1","ankyrin repeat and IBR domain containing 1","O","ankyrin repeat and IBR domain-containing","ANKIB1"
"16","ENSG00000001630",-0.341911163620673,7.85425878713232,1.94233253719539,0.16341549453055,1,9606,1595,"NULL","7","7q21.2","cytochrome P450, family 51, subfamily A, polypeptide 1","protein-coding","CYP51A1","cytochrome P450, family 51, subfamily A, polypeptide 1","O","CYPLI|cytochrome P450 51A1|cytochrome P4","CYP51A1"
"17","ENSG00000001631",-0.167289351947627,5.29521470291218,0.556195036455686,0.455797395630772,1,9606,889,"NULL","7","7q21.2","KRIT1, ankyrin repeat containing","protein-coding","KRIT1","KRIT1, ankyrin repeat containing","O","ankyrin repeat-containing protein Krit1|","KRIT1"
"18","ENSG00000002016",-0.262949515465184,2.88682841723685,0.951969271784305,0.329218542194703,1,9606,5893,"NULL","12","12p13-p12.2","RAD52 homolog (S. cerevisiae)","protein-coding","RAD52","RAD52 homolog (S. cerevisiae)","O","DNA repair protein RAD52 homolog|recombi","RAD52"
"19","ENSG00000002330",0.0980818640711505,3.64674046152418,0.135692294621148,0.712601575751344,1,9606,572,"NULL","11","11q13.1","BCL2-associated agonist of cell death","protein-coding","BAD","BCL2-associated agonist of cell death","O","BCL-X/BCL-2 binding protein|BCL2-antagon","BAD"
"20","ENSG00000002549",0.111085843224522,7.34103180592416,0.255836332398829,0.61299518993071,1,9606,51056,"NULL","4","4p15.32","leucine aminopeptidase 3","protein-coding","LAP3","leucine aminopeptidase 3","O","LAP-3|cytosol aminopeptidase|leucyl amin","LAP3"
"21","ENSG00000002586",0.147885990920712,5.65786074119523,0.34278315624268,0.55822711994496,1,9606,4267,"NULL","X|Y","Xp22.32 and Yp11.3","CD99 molecule","protein-coding","CD99","CD99 molecule","O","CD99 antigen|E2 antigen|MIC2 (monoclonal","CD99"
"22","ENSG00000002746",0.655502735874817,2.16930655724132,3.95945647398964,0.0466087505002713,1,9606,23072,"NULL","7","7p13","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","protein-coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","O","E3 ubiquitin-protein ligase HECW1|HECT t","HECW1"
"23","ENSG00000002822",0.317049458261848,5.13771756038662,1.95249138625133,0.162318632917166,1,9606,8379,"NULL","7","7p22","MAD1 mitotic arrest deficient-like 1 (yeast)","protein-coding","MAD1L1","MAD1 mitotic arrest deficient-like 1 (yeast)","O","MAD1-like protein 1|mitotic arrest defic","MAD1L1"
"24","ENSG00000002834",0.442715680082748,8.6727757079996,3.74867273267159,0.0528494615387065,1,9606,3927,"NULL","17","17q11-q21.3","LIM and SH3 protein 1","protein-coding","LASP1","LIM and SH3 protein 1","O","LIM and SH3 domain protein 1|metastatic ","LASP1"
"25","ENSG00000002919",0.157634453135604,4.45442808053261,0.422510120693481,0.515687192878791,1,9606,29916,"NULL","17","17q21.32","sorting nexin 11","protein-coding","SNX11","sorting nexin 11","O","sorting nexin-11","SNX11"
"26","ENSG00000002933",0.321495321896138,2.26299547571678,1.40168187362429,0.236442173082907,1,9606,55365,"NULL","7","7q36.1","transmembrane protein 176A","protein-coding","TMEM176A","transmembrane protein 176A","O","hepatocellular carcinoma-associated anti","TMEM176A"
"27","ENSG00000003056",-0.0685813011277506,6.94305781999668,0.0957438940101838,0.756998177710389,1,9606,4074,"NULL","12","12p13","mannose-6-phosphate receptor (cation dependent)","protein-coding","M6PR","mannose-6-phosphate receptor (cation dependent)","O","46-kDa mannose 6-phosphate receptor|CD M","M6PR"
"28","ENSG00000003096",-0.136050732886946,3.00192897434798,0.27787097647008,0.598100061512902,1,9606,90293,"NULL","X","Xq23-q24","kelch-like family member 13","protein-coding","KLHL13","kelch-like family member 13","O","BTB and kelch domain containing 2|kelch-","KLHL13"
"29","ENSG00000003137",0.0713276601221281,5.7331949534353,0.0952825954059193,0.757565879557272,1,9606,56603,"NULL","2","2p13.2","cytochrome P450, family 26, subfamily B, polypeptide 1","protein-coding","CYP26B1","cytochrome P450, family 26, subfamily B, polypeptide 1","O","cytochrome P450 26B1|cytochrome P450 ret","CYP26B1"
"30","ENSG00000003147",-0.261665407565961,4.27318388646727,1.25315028833482,0.262951641181838,1,9606,3382,"NULL","7","7p22","islet cell autoantigen 1, 69kDa","protein-coding","ICA1","islet cell autoantigen 1, 69kDa","O","69 kDa islet cell autoantigen|diabetes m","ICA1"
"31","ENSG00000003249",0.27050676330512,4.67222368585552,0.997008548670501,0.318035435802206,1,9606,79007,"NULL","16","16q24.3","dysbindin (dystrobrevin binding protein 1) domain containing 1","protein-coding","DBNDD1","dysbindin (dystrobrevin binding protein 1) domain containing 1","O","dysbindin domain-containing protein 1","DBNDD1"
"32","ENSG00000003393",-0.019265698355481,5.98518834407176,0.00599683629251668,0.938274123425081,1,9606,57679,"NULL","2","2q33.1","amyotrophic lateral sclerosis 2 (juvenile)","protein-coding","ALS2","amyotrophic lateral sclerosis 2 (juvenile)","O","alsin|amyotrophic lateral sclerosis 2 ch","ALS2"
"33","ENSG00000003400",0.0830604754515278,3.81216568549979,0.110305247768723,0.739796882878084,1,9606,843,"NULL","2","2q33-q34","caspase 10, apoptosis-related cysteine peptidase","protein-coding","CASP10","caspase 10, apoptosis-related cysteine peptidase","O","CASP-10|FADD-like ICE2|FAS-associated de","CASP10"
"34","ENSG00000003402",0.0291852686610216,5.79185650226612,0.0161414695577875,0.898901550451774,1,9606,8837,"NULL","2","2q33-q34","CASP8 and FADD-like apoptosis regulator","protein-coding","CFLAR","CASP8 and FADD-like apoptosis regulator","O","FADD-like anti-apoptotic molecule|FADD-l","CFLAR"
"35","ENSG00000003436",-0.132938435344373,7.15465802289311,0.310529464669621,0.577355466293942,1,9606,7035,"NULL","2","2q32","tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)","protein-coding","TFPI","tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)","O","anti-convertin|extrinsic pathway inhibit","TFPI"
"36","ENSG00000003509",-0.0619712469526851,3.64631602329015,0.0720765258695037,0.788337012235825,1,9606,55471,"PRO1853","2","2p22.2","NADH dehydrogenase (ubiquinone) complex I, assembly factor 7","protein-coding","NDUFAF7","NADH dehydrogenase (ubiquinone) complex I, assembly factor 7","O","NADH dehydrogenase [ubiquinone] complex ","NDUFAF7"
"37","ENSG00000003756",-0.183962897116536,6.11821447013253,0.687655701265813,0.40696291001459,1,9606,10181,"H37","3","3p21.3","RNA binding motif protein 5","protein-coding","RBM5","RNA binding motif protein 5","O","RNA-binding protein 5|putative tumor sup","RBM5"
"38","ENSG00000003987",-0.712746711985146,1.34665964366453,5.02253564647662,0.0250195052131773,1,9606,9108,"NULL","8","8p22","myotubularin related protein 7","protein-coding","MTMR7","myotubularin related protein 7","O","myotubularin-related protein 7","MTMR7"
"39","ENSG00000003989",0.186522115076694,7.7427377052801,0.632331676107582,0.426501327578319,1,9606,6542,"NULL","8","8p22","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","protein-coding","SLC7A2","solute carrier family 7 (cationic amino acid transporter, y+ system), member 2","O","low affinity cationic amino acid transpo","SLC7A2"
"40","ENSG00000004059",0.0500924451430085,6.62583075560291,0.0472000046297869,0.82800914077641,1,9606,381,"NULL","7","7q31.3","ADP-ribosylation factor 5","protein-coding","ARF5","ADP-ribosylation factor 5","O","NULL","ARF5"
"41","ENSG00000004139",-0.414815462622417,3.04730043816451,2.30131782906437,0.129264285022385,1,9606,23098,"NULL","17","17q11","sterile alpha and TIR motif containing 1","protein-coding","SARM1","sterile alpha and TIR motif containing 1","O","SAM domain-containing protein 2|sterile ","SARM1"
"42","ENSG00000004142",0.179387360290963,7.45203385587439,0.57918666433406,0.446631299232421,1,9606,26073,"HSPC017","17","17q11.2","polymerase (DNA-directed), delta interacting protein 2","protein-coding","POLDIP2","polymerase (DNA-directed), delta interacting protein 2","O","38 kDa DNA polymerase delta interaction ","POLDIP2"
"43","ENSG00000004399",0.415656064656887,6.84100245087994,2.83793286738419,0.0920625792336543,1,9606,23129,"NULL","3","3q22.1","plexin D1","protein-coding","PLXND1","plexin D1","O","plexin-D1","PLXND1"
"44","ENSG00000004455",0.0369844810596953,6.85266282964115,0.0265860307638341,0.870477308736898,1,9606,204,"NULL","1","1p34","adenylate kinase 2","protein-coding","AK2","adenylate kinase 2","O","ATP-AMP transphosphorylase 2|ATP:AMP pho","AK2"
"45","ENSG00000004468",0.106943409807636,3.56344293067693,0.122845599348643,0.725968468251759,1,9606,952,"NULL","4","4p15","CD38 molecule","protein-coding","CD38","CD38 molecule","O","ADP-ribosyl cyclase 1|ADP-ribosyl cyclas","CD38"
"46","ENSG00000004478",0.295644121188573,7.84653426394854,1.42463775379225,0.232641557363973,1,9606,2288,"NULL","12","12p13.33","FK506 binding protein 4, 59kDa","protein-coding","FKBP4","FK506 binding protein 4, 59kDa","O","51 kDa FK506-binding protein|FK506-bindi","FKBP4"
"47","ENSG00000004487",0.0100799546340688,7.29636778171287,0.00194206697431554,0.964849491694046,1,9606,23028,"RP1-184J9.1","1","1p36.12","lysine (K)-specific demethylase 1A","protein-coding","KDM1A","lysine (K)-specific demethylase 1A","O","BRAF35-HDAC complex protein BHC110|FAD-b","KDM1A"
"48","ENSG00000004534",0.152410773984295,5.6671032901165,0.42320540476282,0.515341927649891,1,9606,10180,"NULL","3","3p21.3","RNA binding motif protein 6","protein-coding","RBM6","RNA binding motif protein 6","O","RNA-binding motif protein 6|RNA-binding ","RBM6"
"49","ENSG00000004660",-0.0963532625387999,0.670387368172083,0.0790470670922399,0.778592973073016,1,9606,84254,"NULL","17","17p13.2","calcium/calmodulin-dependent protein kinase kinase 1, alpha","protein-coding","CAMKK1","calcium/calmodulin-dependent protein kinase kinase 1, alpha","O","CAMKK alpha protein|caM-KK 1|caM-KK alph","CAMKK1"
"50","ENSG00000004700",-0.331852359877962,6.32864578266729,2.05351488900964,0.151855255861392,1,9606,5965,"NULL","12","12p12","RecQ protein-like (DNA helicase Q1-like)","protein-coding","RECQL","RecQ protein-like (DNA helicase Q1-like)","O","ATP-dependent DNA helicase Q1|DNA helica","RECQL"
"51","ENSG00000004766",-0.474986096972917,4.97509656586231,4.00274896198512,0.0454261180494726,1,9606,55610,"NULL","7","7q21.3","coiled-coil domain containing 132","protein-coding","CCDC132","coiled-coil domain containing 132","O","coiled-coil domain-containing protein 13","CCDC132"
"52","ENSG00000004777",-0.0234936254760121,1.6767196412578,0.00400671062970215,0.949528743979554,1,9606,115703,"NULL","19","19q13.12","Rho GTPase activating protein 33","protein-coding","ARHGAP33","Rho GTPase activating protein 33","O","neurite outgrowth multiadaptor RhoGAP pr","ARHGAP33"
"53","ENSG00000004779",0.0229469259424902,6.47117837112273,0.00928614243713355,0.923230980373367,1,9606,4706,"NULL","16","16p12.2","NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa","protein-coding","NDUFAB1","NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa","O","CI-SDAP|NADH-ubiquinone oxidoreductase 9","NDUFAB1"
"54","ENSG00000004799",-0.961889258627016,0.394795937789639,7.02467102712818,0.00803942396273228,1,9606,5166,"NULL","7","7q21.3","pyruvate dehydrogenase kinase, isozyme 4","protein-coding","PDK4","pyruvate dehydrogenase kinase, isozyme 4","O","[Pyruvate dehydrogenase [lipoamide]] kin","PDK4"
"55","ENSG00000004838",0.0137339323177448,0.625956362635819,0.00169790397395708,0.967131965102808,1,9606,51364,"LUCA12.4","3","3p21.3","zinc finger, MYND-type containing 10","protein-coding","ZMYND10","zinc finger, MYND-type containing 10","O","protein BLu|zinc finger MYND domain-cont","ZMYND10"
"56","ENSG00000004864",-0.076210295917496,6.91264656145093,0.121211859738777,0.727723828666134,1,9606,10165,"NULL","7","7q21.3","solute carrier family 25 (aspartate/glutamate carrier), member 13","protein-coding","SLC25A13","solute carrier family 25 (aspartate/glutamate carrier), member 13","O","calcium-binding mitochondrial carrier pr","SLC25A13"
"57","ENSG00000004866",-0.111498339072259,5.16406738505062,0.249116373329557,0.617697954461271,1,9606,7982,"NULL","7","7q31.2","suppression of tumorigenicity 7","protein-coding","ST7","suppression of tumorigenicity 7","O","family with sequence similarity 4, subfa","ST7"
"58","ENSG00000004897",-0.319948890281282,7.19711314096297,2.00116336245749,0.157178529581821,1,9606,996,"NULL","17","17q21.32","cell division cycle 27","protein-coding","CDC27","cell division cycle 27","O","CDC27 homolog|H-NUC|anaphase promoting c","CDC27"
"59","ENSG00000004961",-0.20103347351722,4.72236387429868,0.755886583583129,0.384618879314116,1,9606,3052,"NULL","X","Xp22.3","holocytochrome c synthase","protein-coding","HCCS","holocytochrome c synthase","O","cytochrome c heme-lyase|cytochrome c-typ","HCCS"
"60","ENSG00000004975",0.482377470666189,5.91336423106161,3.54752764097928,0.0596342431867343,1,9606,1856,"NULL","17","17p13.1","dishevelled, dsh homolog 2 (Drosophila)","protein-coding","DVL2","dishevelled, dsh homolog 2 (Drosophila)","O","dishevelled 2 (homologous to Drosophila ","DVL2"
"61","ENSG00000005007",0.393139830990483,7.9140025634339,2.34882325480442,0.125377619054329,1,9606,5976,"NULL","19","19p13.2-p13.11","UPF1 regulator of nonsense transcripts homolog (yeast)","protein-coding","UPF1","UPF1 regulator of nonsense transcripts homolog (yeast)","O","ATP-dependent helicase RENT1|UP Frameshi","UPF1"
"62","ENSG00000005020",-0.283915576113794,5.64808801921791,1.22629217231926,0.26812933596241,1,9606,8935,"NULL","7","7p15.2","src kinase associated phosphoprotein 2","protein-coding","SKAP2","src kinase associated phosphoprotein 2","O","Fyn-associated phosphoprotein SKAP55 hom","SKAP2"
"63","ENSG00000005022",-0.166704086442168,9.05851537867672,0.500246295282182,0.479391922171234,1,9606,292,"NULL","X","Xq24","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","protein-coding","SLC25A5","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","O","ADP,ATP carrier protein 2|ADP,ATP carrie","SLC25A5"
"64","ENSG00000005059",-0.120829281762749,3.53435731048594,0.216264471783783,0.641901064047052,1,9606,55013,"NULL","4","4q25","coiled-coil domain containing 109B","protein-coding","CCDC109B","coiled-coil domain containing 109B","O","coiled-coil domain-containing protein 10","CCDC109B"
"65","ENSG00000005073",-0.0257189751877945,1.96470721278817,0.00852286701778326,0.92644429500668,1,9606,3207,"NULL","7","7p15.2","homeobox A11","protein-coding","HOXA11","homeobox A11","O","homeo box 1I|homeobox protein HOXA11|hom","HOXA11"
"66","ENSG00000005075",0.261598218051582,5.10267740952286,0.857144671458909,0.354538970478082,1,9606,5439,"NULL","7","7q22.1","polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa","protein-coding","POLR2J","polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa","O","DNA-directed RNA polymerase II subunit J","POLR2J"
"67","ENSG00000005100",0.202998559920133,5.76945858636337,0.752957101182076,0.38554160701164,1,9606,56919,"NULL","17","17p13.2","DEAH (Asp-Glu-Ala-His) box polypeptide 33","protein-coding","DHX33","DEAH (Asp-Glu-Ala-His) box polypeptide 33","O","DEAD/H (Asp-Glu-Ala-Asp/His) box polypep","DHX33"
"68","ENSG00000005108",-0.130506576116838,3.72044912697881,0.220570147625408,0.63860583748839,1,9606,221981,"NULL","7","7p21.3","thrombospondin, type I, domain containing 7A","protein-coding","THSD7A","thrombospondin, type I, domain containing 7A","O","thrombospondin type-1 domain-containing ","THSD7A"
"69","ENSG00000005156",0.168942858232146,6.49785877433575,0.582905671375666,0.445175639033468,1,9606,3980,"NULL","17","17q11.2-q12","ligase III, DNA, ATP-dependent","protein-coding","LIG3","ligase III, DNA, ATP-dependent","O","DNA ligase 3|ligase II, DNA, ATP-depende","LIG3"
"70","ENSG00000005175",-0.196570879632717,6.34990169317074,0.786459511796895,0.375172842990487,1,9606,79657,"NULL","12","12q13.11","RNA polymerase II associated protein 3","protein-coding","RPAP3","RNA polymerase II associated protein 3","O","RNA polymerase II-associated protein 3","RPAP3"
"71","ENSG00000005187",-0.579833014574524,3.4873642396929,3.00474182183276,0.0830212028477589,1,9606,6296,"NULL","16","16p13.11","acyl-CoA synthetase medium-chain family member 3","protein-coding","ACSM3","acyl-CoA synthetase medium-chain family member 3","O","SA (rat hypertension-associated) homolog","ACSM3"
"72","ENSG00000005189",-0.176180414611907,3.1633895822673,0.482358049369137,0.487356154195159,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC004381.6"
"73","ENSG00000005194",-0.0713032000385517,5.92932094180856,0.097763026616521,0.754530785334606,1,9606,57019,"CUA001","16","16q21","cytokine induced apoptosis inhibitor 1","protein-coding","CIAPIN1","cytokine induced apoptosis inhibitor 1","O","anamorsin|cytokine-induced apoptosis inh","CIAPIN1"
"74","ENSG00000005206",0.463713862561351,5.13419477980132,3.00837561208839,0.0828352643722006,1,9606,56928,"NULL","19","19p13.3","signal peptide peptidase like 2B","protein-coding","SPPL2B","signal peptide peptidase like 2B","O","SPP-like 2B|intramembrane protease 4|pre","SPPL2B"
"75","ENSG00000005238",0.0439210492441993,2.30759479319068,0.0272249872377428,0.868944012495932,1,9606,80256,"NULL","9","9p13.3","family with sequence similarity 214, member B","protein-coding","FAM214B","family with sequence similarity 214, member B","O","protein FAM214B","FAM214B"
"76","ENSG00000005249",-0.297199060441251,4.21906199001046,0.586797612097129,0.443660140887141,1,9606,5577,"NULL","7","7q22","protein kinase, cAMP-dependent, regulatory, type II, beta","protein-coding","PRKAR2B","protein kinase, cAMP-dependent, regulatory, type II, beta","O","H_RG363E19.2|WUGSC:H_RG363E19.2|cAMP-dep","PRKAR2B"
"77","ENSG00000005302",-0.27526642149497,2.67957140991331,0.883660929121291,0.347200937205749,1,9606,10943,"NULL","X","Xp22.3","male-specific lethal 3 homolog (Drosophila)","protein-coding","MSL3","male-specific lethal 3 homolog (Drosophila)","O","MSL3-like 1|male-specific lethal 3 homol","MSL3"
"78","ENSG00000005339",0.297002340070982,6.10136561960177,1.22449434301591,0.268480435356647,1,9606,1387,"NULL","16","16p13.3","CREB binding protein","protein-coding","CREBBP","CREB binding protein","O","CREB-binding protein","CREBBP"
"79","ENSG00000005421",-0.0176845002321791,4.08317047113242,0.00390202995203737,0.950191553563961,1,9606,5444,"NULL","7","7q21.3","paraoxonase 1","protein-coding","PON1","paraoxonase 1","O","A-esterase 1|K-45|PON 1|aromatic esteras","PON1"
"80","ENSG00000005436",-0.264503971677754,3.95339502625149,1.30240291967034,0.253774768779531,1,9606,6936,"NULL","2","2p12","GC-rich sequence DNA-binding factor 2","protein-coding","GCFC2","GC-rich sequence DNA-binding factor 2","O","GC binding factor|GC bindng factor|TCF-9","GCFC2"
"81","ENSG00000005448",-0.0101750419718501,0.676937427338136,0.000949157005071477,0.975422347912535,1,9606,84058,"NULL","2","2p13.1","WD repeat domain 54","protein-coding","WDR54","WD repeat domain 54","O","WD repeat-containing protein 54","WDR54"
"82","ENSG00000005469",-0.230726268076745,3.94349337694072,0.785334521134891,0.375514602684915,1,9606,54677,"NULL","7","7q21.1","carnitine O-octanoyltransferase","protein-coding","CROT","carnitine O-octanoyltransferase","O","peroxisomal carnitine O-octanoyltransfer","CROT"
"83","ENSG00000005471",0.149488849299567,3.67431682794155,0.31018461370078,0.577566921100865,1,9606,5244,"NULL","7","7q21.1","ATP-binding cassette, sub-family B (MDR/TAP), member 4","protein-coding","ABCB4","ATP-binding cassette, sub-family B (MDR/TAP), member 4","O","ATP-binding cassette sub-family B member","ABCB4"
"84","ENSG00000005483",-0.178285307308868,5.91260582069259,0.531682140435123,0.465900510081683,1,9606,55904,"NULL","7","7q22.1","lysine (K)-specific methyltransferase 2E","protein-coding","KMT2E","lysine (K)-specific methyltransferase 2E","O","histone-lysine N-methyltransferase MLL5|","KMT2E"
"85","ENSG00000005486",0.20090697428629,5.17164583418948,0.765812804322632,0.381515519907031,1,9606,57414,"NULL","7","7q11.23","rhomboid domain containing 2","protein-coding","RHBDD2","rhomboid domain containing 2","O","H_RG122E10.2a|H_RG122E10.2b|WUGSC:H_RG12","RHBDD2"
"86","ENSG00000005700",-0.202285915466987,7.1741902171768,0.797586518887101,0.371815941705743,1,9606,25998,"NULL","6","6q14.1","inhibitor of Bruton agammaglobulinemia tyrosine kinase","protein-coding","IBTK","inhibitor of Bruton agammaglobulinemia tyrosine kinase","O","BTK-binding protein|Bruton agammaglobuli","IBTK"
"87","ENSG00000005801",-0.33789475264135,5.07797458508729,1.94950145121521,0.162640584234428,1,9606,7748,"NULL","11","11p15.5","zinc finger protein 195","protein-coding","ZNF195","zinc finger protein 195","O","hypoxia-regulated factor-1|krueppel fami","ZNF195"
"88","ENSG00000005810",0.101596605627953,5.82882757006556,0.15044290321212,0.69811246298669,1,9606,23077,"AC001226.5","13","13q22","MYC binding protein 2, E3 ubiquitin protein ligase","protein-coding","MYCBP2","MYC binding protein 2, E3 ubiquitin protein ligase","O","myc-binding protein 2|pam/highwire/rpm-1","MYCBP2"
"89","ENSG00000005812",-0.365971769401582,5.91875931962105,2.41368158238321,0.12027919699076,1,9606,26224,"NULL","13","13q22","F-box and leucine-rich repeat protein 3","protein-coding","FBXL3","F-box and leucine-rich repeat protein 3","O","F-box and leucine-rich repeat protein 3A","FBXL3"
"90","ENSG00000005844",0.150195285648193,3.61770979366336,0.350190344627703,0.554005400373787,1,9606,3683,"NULL","16","16p11.2","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","protein-coding","ITGAL","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","O","CD11 antigen-like family member A|LFA-1 ","ITGAL"
"91","ENSG00000005882",-0.162359248296532,2.14134112271231,0.370431094373514,0.542769378514271,1,9606,5164,"NULL","17","17q21.33","pyruvate dehydrogenase kinase, isozyme 2","protein-coding","PDK2","pyruvate dehydrogenase kinase, isozyme 2","O","PDH kinase 2|pyruvate dehydrogenase kina","PDK2"
"92","ENSG00000005884",-0.134747344186047,2.32578727718174,0.145154808883044,0.703209277437393,1,9606,3675,"NULL","17","17q21.33","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","protein-coding","ITGA3","integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)","O","CD49 antigen-like family member C|FRP-2|","ITGA3"
"93","ENSG00000005889",-0.200688975981148,5.82436656200895,0.728988836372587,0.393211142437963,1,9606,7543,"NULL","X","Xp21.3","zinc finger protein, X-linked","protein-coding","ZFX","zinc finger protein, X-linked","O","X-linked zinc finger protein|zinc finger","ZFX"
"94","ENSG00000005893",-0.339040468941846,7.85752572592017,1.98190115303589,0.159190267455694,1,9606,3920,"NULL","X","Xq24","lysosomal-associated membrane protein 2","protein-coding","LAMP2","lysosomal-associated membrane protein 2","O","CD107 antigen-like family member B|lysos","LAMP2"
