StructID,MoAs,Targets
ST25763,PKA inhibitor,PRKACA
ST25764,PKC activator,PRKCD|PRKCE
ST25765,PKC activator,PRKCA|PRKCD
ST25766,PKC inhibitor,SIRT1
ST25767,EGFR inhibitor|PKC inhibitor,EGFR
ST25768,PKC inhibitor,PRKCA|PRKCG
ST25769,PKC inhibitor,PRKCB
ST25770,PKC inhibitor,PRKCB
ST25771,PKC inhibitor,PRKCQ|PRKCA|PRKCD|PRKCE|PRKCB|PRKCH
ST25772,PKC inhibitor,GSK3B|CDK2
ST25773,PKC inhibitor,GSK3B|CDK2
ST25774,PLK inhibitor,PLK1
ST25775,PLK inhibitor,PLK1
ST25776,PLK inhibitor,PLK3|PLK1
ST25777,PLK inhibitor,PDGFRB|FLT4|RET|FLT3|CSF1R|KIT|FLT1|KDR
ST25778,PLK inhibitor|DNA dependent protein kinase inhibitor|Phosphodiesterase inhibitor|MTOR inhibitor,PIK3CA|PIK3CB|MTOR|PLK1|PIK3CG|PRKDC|PIK3CD
ST25779,PLK inhibitor,PLK1
ST25780,PLK inhibitor,PLK1|PDGFRA|FYN|PLK2|CDK1|SRC|FLT1
ST25781,PLK inhibitor|Cell cycle inhibitor,PLK1
ST25782,PLK inhibitor,PLK1
ST25783,RAF inhibitor,RAF1|BRAF
ST25784,RAF inhibitor,BRAF
ST25785,RAF inhibitor,BRAF
ST25786,RAF inhibitor,BRAF
ST25787,Leucine rich repeat kinase inhibitor|RAF inhibitor,RAF1
ST25788,RAF inhibitor,BRAF
ST25789,RAF inhibitor,RAF1
ST25790,RAF inhibitor,BRAF
ST25791,RAF inhibitor,BRAF
ST25792,RAF inhibitor,BRAF
ST25793,Src activator,LYN|SRC
ST25794,Src inhibitor,LCK
ST25795,Abl kinase inhibitor|Src inhibitor,LYN|CAMK2G|BCR|SRC|ABL1|HCK
ST25796,EGFR inhibitor|Src inhibitor,ACE
ST25797,Src inhibitor,LCK|SRC
ST25798,Src inhibitor,ABL1|SRC
ST25799,Src inhibitor,LYN
ST25800,VEGFR inhibitor|Src inhibitor,FGFR1|KDR|SRC|FLT1
ST25801,VEGFR inhibitor|Abl kinase inhibitor|Src inhibitor,KDR|FLT1
ST25802,FLT3 inhibitor|Syk inhibitor,SYK
ST25803,Syk inhibitor|Mediator release inhibitor,SYK
ST25804,Syk inhibitor,SYK
ST25805,Syk inhibitor,SYK
ST25806,ACAT inhibitor,ACAT1
ST25807,ACAT inhibitor,ACACB|ACACA
ST25808,ACAT inhibitor,SOAT1|SOAT2
ST25809,AMPK inhibitor,PRKAA1|BMPR1A|BMPR1B
ST25810,APEX inhibitor,APEX1
ST25811,APEX inhibitor,APEX1
ST25812,Antiarrhythmic,SCN5A|KCNH2
ST25813,CAMP stimulant|Adenosine receptor agonist,PRKACA
ST25814,CAMP stimulant|Adenosine receptor agonist,PRKACA
ST25815,CAMP stimulant|Adenosine receptor agonist,PRKACA
ST25816,CAMP stimulant|Adenosine receptor agonist,PRKACA
ST25817,CAMP stimulant|Adenosine receptor agonist,PRKACA
ST25818,CCR antagonist,CCR2
ST25819,DYRK inhibitor,DYRK1B|CLK1|DYRK1A|CLK4
ST25820,DYRK inhibitor,DYRK1B|CLK1|DYRK1A|CLK4
ST25821,DYRK inhibitor,CLK1|DYRK1A|CLK4
ST25822,DYRK inhibitor,MAOA
ST25823,EGFR inhibitor,ERBB4|EGFR|ERBB2
ST25824,EGFR inhibitor,ERBB4|EGFR|ERBB2
ST25825,EGFR inhibitor,EGFR|ERBB2
ST25826,EGFR inhibitor,EGFR|ERBB2
ST25827,EGFR inhibitor,EGFR
ST25828,Tyrosine kinase inhibitor|EGFR inhibitor,EGFR
ST25829,EGFR inhibitor,EGFR
ST25830,Receptor tyrosine protein kinase inhibitor|EGFR inhibitor,ERBB4|EGFR|ERBB2
ST25831,EGFR inhibitor,ERBB4|EGFR|ERBB2
ST25832,EGFR inhibitor,EGFR
ST25833,EGFR inhibitor,EGFR|MTOR
ST25834,Tyrosine kinase inhibitor|EGFR inhibitor,ERBB2
ST25835,EGFR inhibitor,ERBB4|EGFR|ERBB2
ST25836,FLT3 inhibitor|FGFR inhibitor|EGFR inhibitor|PDGFR inhibitor|VEGFR inhibitor,PDGFRB|FGFR2|FGFR1|FLT4|EGFR|FLT3|KIT|FLT1|FGFR3|KDR
ST25837,EGFR inhibitor,EGFR
ST25838,EGFR inhibitor,EGFR
ST25839,Receptor tyrosine protein kinase inhibitor|EGFR inhibitor|ErbB2 inhibitor,EGFR|ERBB2
ST25840,EGFR inhibitor|ErbB2 inhibitor,EGFR|ERBB2
ST25841,EGFR inhibitor,EGFR|CAMK2A|SRC
ST25842,EGFR inhibitor,EGFR
ST25843,EGFR inhibitor,ERBB4|EGFR|ERBB2
ST25844,EGFR inhibitor,EGFR
ST25845,EGFR inhibitor,EGFR
ST25846,EGFR inhibitor,EGFR
ST25847,EGFR inhibitor,EGFR
ST25848,EGFR inhibitor,ERBB2
ST25849,EGFR inhibitor|VEGFR inhibitor|RET tyrosine kinase inhibitor,PTK6|FLT4|RET|EGFR|TEK|FLT1|KDR
ST25850,EGFR inhibitor,EGFR
ST25851,EGFR inhibitor,EGFR|ERBB2
ST25852,FAAH inhibitor|FAAH reuptake inhibitor,FAAH
ST25853,FAAH inhibitor|Cyclooxygenase inhibitor|TRPV antagonist,TRPV1
ST25854,FAAH inhibitor,FAAH
ST25855,FAAH inhibitor,FAAH
ST25856,FAAH inhibitor,FAAH
ST25857,FAAH inhibitor,FAAH
ST25858,FGFR inhibitor|VEGFR inhibitor,FGFR1|KDR|FLT1
ST25859,FGFR inhibitor|VEGFR inhibitor,FGFR1|KDR|FLT1
ST25860,FGFR inhibitor|VEGFR inhibitor,FGFR2|FGFR1|FLT4|FLT1|KDR
ST25861,FGFR inhibitor|VEGFR inhibitor,FGFR2|FGFR1|MET|FLT3|FLT1|FGFR3
ST25862,FGFR inhibitor|VEGFR inhibitor|PDGFR inhibitor,PDGFRB|FGFR1|FLT4|PDGFRA|FLT1|FGFR3|KDR
ST25863,FGFR inhibitor,FGFR3|FGFR2|FGFR1|FGFR4
ST25864,FGFR inhibitor|VEGFR inhibitor|PDGFR inhibitor,PDGFRB|FGFR2|FGFR1|AURKB|PDGFRA|AURKA|KDR
ST25865,FGFR inhibitor|VEGFR inhibitor,FGFR3|FGFR1
ST25866,FLT3 inhibitor|Macrophage inhibitor|Tyrosine kinase inhibitor|Hepatocyte growth factor receptor inhibitor|C-Met inhibitor|AXL kinase inhibitor,TYRO3|MET|MERTK|MST1R|AXL
ST25867,FLT3 inhibitor|Aurora kinase inhibitor|VEGFR inhibitor,FLT3|PDGFRA|AURKA|SRC|KDR
ST25868,FLT3 inhibitor|Tyrosine kinase inhibitor,FLT3
ST25869,FLT3 inhibitor|Aurora kinase inhibitor|Abl kinase inhibitor,ABL1|AURKA|FGFR1|FLT3
ST25870,FLT3 inhibitor|Abl kinase inhibitor|PDGFR inhibitor,FGFR2|FGFR1|RET|FLT3|BCR|TEK|FGFR4|KIT|ABL1|FGFR3
ST25871,FLT3 inhibitor,RET|KIT|FLT3|CSF1R
ST25872,FLT3 inhibitor,FLT3
ST25873,Estrogen receptor agonist|FXR antagonist|Progesterone receptor agonist,NR1H4
ST25874,FtsZ inhibitor|Apoptosis stimulant|Acetylcholinesterase inhibitor|Caspase activator|Rho associated kinase inhibitor,CASP3
ST25875,GLI antagonist,GLI1
ST25876,GLI antagonist,GLI2|GLI1
ST25877,HDAC inhibitor,HDAC6
ST25878,HDAC inhibitor,HDAC2|HDAC7|HDAC6|HDAC11|HDAC3|HDAC9|HDAC4|HDAC5|HDAC8|HDAC10|HDAC1
ST25879,HDAC inhibitor,HDAC2|HDAC7|HDAC6|HDAC11|HDAC3|HDAC9|HDAC4|HDAC5|HDAC8|HDAC10|HDAC1
ST25880,HDAC inhibitor,HDAC2|HDAC7|HDAC6|HDAC3|HDAC9|HDAC4|HDAC5|HDAC8|HDAC1
ST25881,HDAC inhibitor,HDAC1
ST25882,HDAC inhibitor,HDAC6|HDAC8
ST25883,HDAC inhibitor,HDAC1
ST25884,HDAC inhibitor,HDAC2
ST25885,HDAC inhibitor,HDAC2
ST25886,HDAC inhibitor,HDAC11|HDAC2|HDAC1|HDAC3
ST25887,HDAC inhibitor,HDAC2|HDAC7|HDAC6|HDAC11|HDAC3|HDAC9|HDAC4|HDAC5|HDAC8|HDAC10|HDAC1
ST25888,HDAC inhibitor,HDAC1
ST25889,HDAC inhibitor,HDAC2|HDAC1
ST25890,HDAC inhibitor,HDAC2|HDAC6|HDAC3|HDAC10|HDAC1
ST25891,HDAC inhibitor,HDAC6|HDAC10|HDAC8|HDAC1
ST25892,HDAC inhibitor,HDAC1
ST25893,HDAC inhibitor,ALOX5|HDAC3
ST25894,HDAC inhibitor,HDAC2|HDAC1
ST25895,HDAC inhibitor,HDAC2|HDAC3|HDAC9|HDAC4|HDAC5|HDAC10|HDAC1
ST25896,HDAC inhibitor,HDAC1
ST25897,HDAC inhibitor,HDAC1
ST25898,HDAC inhibitor,HDAC6
ST25899,HDAC inhibitor,HDAC6
ST25900,HDAC inhibitor|GABA receptor agonist|Voltage-gated sodium channel blocker|GABAergic transmission enhancer,SCN3A|ALDH5A1|ABAT|SCN1A|HDAC1
ST25901,HDAC inhibitor,HDAC2|HDAC6|HDAC3|HDAC8|HDAC1
ST25902,HDAC inhibitor,HDAC6
ST25903,IRE1 inhibitor,ERN1
ST25904,MTOR inhibitor,MTOR
ST25905,MTOR inhibitor,MTOR
ST25906,MTOR inhibitor,MTOR
ST25907,MTOR inhibitor,MTOR
ST25908,MTOR inhibitor,MTOR
ST25909,MTOR inhibitor,MTOR
ST25910,PI3K inhibitor|MTOR inhibitor,PIK3CG|MTOR
ST25911,PI3K inhibitor|MTOR inhibitor,PIK3CG|MTOR
ST25912,Calcium channel modulator|Sodium channel blocker|MTOR inhibitor,MTOR
ST25913,MTOR inhibitor,MTOR
ST25914,DNA dependent protein kinase inhibitor|PI3K inhibitor|MTOR inhibitor,PRKDC
ST25915,MTOR inhibitor,MTOR
ST25916,MTOR inhibitor,MTOR
ST25917,MTOR inhibitor,MTOR
ST25918,PI3K inhibitor|MTOR inhibitor,PIK3CA|MTOR
ST25919,PI3K inhibitor|MTOR inhibitor,PIK3CA|MTOR
ST25920,PI3K inhibitor|MTOR inhibitor,PIK3CA|PIK3CB|MTOR|PIK3CG|PIK3CD
ST25921,PI3K inhibitor|MTOR inhibitor,MTOR
ST25922,MTOR inhibitor,TRPA1
ST25923,PI3K inhibitor|MTOR inhibitor,PIK3CA|PIK3CB|MTOR|PIK3CG|PIK3CD
ST25924,MTOR inhibitor,FKBP1A|MTOR
ST25925,MTOR inhibitor,FKBP1A|MTOR
ST25926,MTOR inhibitor,FKBP1A|MTOR
ST25927,MTOR inhibitor,FKBP1A|MTOR
ST25928,MTOR inhibitor,FKBP1A|MTOR
ST25929,MTOR inhibitor,FKBP1A|MTOR
ST25930,MTOR inhibitor,MTOR
ST25931,MTOR inhibitor,MTOR
ST25932,PI3K inhibitor|MTOR inhibitor,PIK3CA|MTOR
ST25933,MTOR inhibitor,MTOR
ST25934,MTOR inhibitor,MTOR
ST25935,NRF2 activator,NFE2L2
ST25936,Kelch-like ECH-associated protein ligand|NFKB pathway inhibitor|NRF2 activator,KEAP1|NFE2L2
ST25937,PARP inhibitor,PARP1
ST25938,PARP inhibitor,PARP1
ST25939,PARP inhibitor,PARP1
ST25940,PARP inhibitor,PARP1
ST25941,PARP inhibitor,TNKS2|TNKS
ST25942,PARP inhibitor,PNP
ST25943,PARP inhibitor,PARP1
ST25944,DNA dependent protein kinase inhibitor|PARP inhibitor,PARP1
ST25945,PARP inhibitor,PARP2|PARP1
ST25946,PARP inhibitor,PARP1
ST25947,PARP inhibitor,PARP2|PARP1
ST25948,PARP inhibitor,PARP1
ST25949,PARP inhibitor,PARP2|PARP1
ST25950,PARP inhibitor,PARP2
ST25951,PARP inhibitor,PARP2|PARP1
ST25952,PARP inhibitor,PARP2|PARP1
ST25953,PARP inhibitor,PARP2|PARP1
ST25954,PI3K inhibitor,PIK3CA
ST25955,PI3K inhibitor,PIK3CG
ST25956,PI3K inhibitor,PIK3CG
